id	layout	base_bytes	control_bytes	candidate_bytes	base_sha256	control_sha256	candidate_sha256	base_control_full_byte	base_candidate_full_byte	control_candidate_full_byte	base_project_exact	control_project_exact	candidate_project_exact
clic-validation-005	compact	5539552	5539552	5337014	4329ae94ee36325203bccbde11c04de2a2618e1416d545533dbae2e0c1c769fd	4329ae94ee36325203bccbde11c04de2a2618e1416d545533dbae2e0c1c769fd	3f0be687c5babba565b217ffafb593811505d88616d87119057bdaa70e859950	1	0	0	1	1	1
clic-validation-005	low-latency	5390698	5390698	5257942	fb03d9a7eedaf2fe14215b55c94aadbace00721ee943867495351768b2c911bd	fb03d9a7eedaf2fe14215b55c94aadbace00721ee943867495351768b2c911bd	8fb8804c514d2e9f16225c17fa7ff86cdd9a414cba22124c1defbf1ff0a02a8a	1	0	0	1	1	1
clic-validation-006	default	5931342	5931342	5931342	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	b326c330e51677e95de7587e6eab7a3beca3b79cf9436128def0f8421bba89f6	1	1	1	1	1	1
clic-validation-006	compact	5188746	5188746	4973668	5376977dc084638ccec748bbcadeac318272b941840f5ad5d06bd0e09b918f8c	5376977dc084638ccec748bbcadeac318272b941840f5ad5d06bd0e09b918f8c	12440051ba9944f02368b5170d86f8d465c4961cc7b8bb30a273aa1126da6f9d	1	0	0	1	1	1
clic-validation-006	low-latency	5209140	5209140	5124450	afa08d0570a6655b7e11302c35c603f5d733fd94b21116d03f78d29e156668a2	afa08d0570a6655b7e11302c35c603f5d733fd94b21116d03f78d29e156668a2	a9011eae7d5d22685c8325140fb0572f67aa79d982cd7c8cef1d458c9e9e5e7f	1	0	0	1	1	1
clic-validation-007	default	8390522	8390522	8390522	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	6500ea8261b0a7b6b973bcf6f8d0474632901ad8cf338cb596b4793225c53632	1	1	1	1	1	1
clic-validation-007	compact	7922454	7922454	7843464	a167d22de8bbc29566578dded9a041b1f6f1ae47bf0b4ade070bbd01025d4c3c	a167d22de8bbc29566578dded9a041b1f6f1ae47bf0b4ade070bbd01025d4c3c	ec8ef7c6fb8e4fbac2ddf81fb759dbc87fafda2e72cefc4f1adc5a6d10776360	1	0	0	1	1	1
clic-validation-007	low-latency	8112576	8112576	8152224	870073f36e25e5d9aa254202c4650a810e47e8016d03d4847db8c2e3b7674ade	870073f36e25e5d9aa254202c4650a810e47e8016d03d4847db8c2e3b7674ade	04f361e3965513876a4af62e8e8082a448c8e5b2a8e11348038737571edc92a5	1	0	0	1	1	1
clic-validation-008	default	4821292	4821292	4821292	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	65baf6579082e2f8f58e7ced30d806fe03f660032d4e90da25cfa4c92d318277	1	1	1	1	1	1
clic-validation-008	compact	4327522	4327522	4353944	38b8566aba827bfe898877889691d7eb54398dbb58fa83c9f00e57ea7f7c1bca	38b8566aba827bfe898877889691d7eb54398dbb58fa83c9f00e57ea7f7c1bca	3e7173762e21299eca3a8ce247eecccb63ae3d1c3f37cd1b1654932f9e748616	1	0	0	1	1	1
