name	commit	test_binary_bytes	test_binary_sha256	release_rlib_bytes	release_rlib_sha256
product	9435fbd0499fe76ad5579a740da518f49ebd67d0	1501056	247305b53187841383afb7a39a872f1292728e7a114b0d5541547b101da524fe	453848	45baed3e22b6862ee84d34387c2ff389447bc9916c073bc4cf631d2ac8dd10f8
base	0ee428dc0bee9c035f051b4ccaa846dabe394ca8	1481328	65f10c5b9e7f48abac9cfdedf2e28736100ce5a2197b40ab5f0de2ef303a6bf0	436344	bed7d4c38729c38758bf95f318bc9eda0e4117fcb0ab45b1a87ecb8ed2af183d
e36	dfc0cf6f043faf329c60fa43f363b6e4bd85688a	1516512	667062f716098a04b5b8b12a65f94e624feff53306387fee2b8fd459b72311bd	446200	eabd8a0fd9c91a0d94b4e49698983451adff6304e0ac4c2c143f07dd3b3b733e
