name	commit	test_binary_bytes	test_binary_sha256	release_rlib_bytes	release_rlib_sha256
base	ec7fbaf69f423bfd7251a121d2e629cfa776cb79	2117168	9376564a66fae3edb3938df1c057de30865b9fb944759a19b0a436ebce53b182	2164896	19306fbe1f087e9ff895c765afda7868a97a21c63d5d3c306b1724ee556c7a17
candidate	41c24db5	2193984	21c9ec3c423c15fcca194092f61d196b7897b7cddd579eaa4fe74c744e2ed91a		
