
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	signature_differences	assignment_differences	ordered_groups	exact_groups	ordered_candidate_bytes	exact_candidate_bytes	candidate_byte_delta	ordered_product_bytes	exact_product_bytes	product_byte_delta	ordered_candidate_ns	exact_candidate_ns	ordered_product_ns	exact_product_ns	ordered_plan_ns	initialization_ns	update_ns	signature_cluster_ns	merge_ns	update_count	merge_updates	storage_bytes
phase_a	clic-validation-012	low-latency	1632	1224	1997568	1993870	1992217	1653	0	35	23	31	16	16	5008486	4944876	-63610	5008486	4944876	-63610	51085625	24765959	63193375	36934000	25379541	1292	5499041	71083	25125	7972174	11212	146860
phase_a	clic-validation-013	compact	1632	1224	1997568	1986533	1982425	4108	0	130	96	111	37	27	5058144	5129264	71120	5058144	5129264	71120	49680667	25700583	61634792	37650500	22583667	5292	5551875	263917	93584	7937916	40556	272740
phase_a	clic-validation-013	low-latency	1632	1224	1997568	1986533	1982425	4108	0	35	32	33	16	16	5153972	5094868	-59104	5153972	5094868	-59104	49027708	24967167	60318458	36676958	22965958	1292	5445709	70917	33666	7937916	13869	146860
phase_a	clic-validation-014	compact	1632	1224	1997568	1983602	1978280	5322	0	130	87	113	48	29	5293592	5450396	156804	5293592	5450396	156804	49016000	26096541	61016542	38158291	21905250	2708	5547917	260750	90875	7923764	47204	272740
phase_a	clic-validation-014	low-latency	1632	1224	1997568	1983602	1978280	5322	0	35	29	32	16	15	5386808	5413832	27024	5386808	5413832	27024	48307709	24598959	59448292	36564042	22547292	1583	5494667	81000	34917	7923764	16168	146860
phase_a	clic-validation-015	compact	1632	1224	1997568	1991976	1990030	1946	0	130	106	112	32	18	5656200	5703850	47650	5656200	5703850	47650	49001000	26980750	61006917	37876000	22007500	2542	5422083	257000	89292	7964012	66117	272740
phase_a	clic-validation-015	low-latency	1632	1224	1997568	1991976	1990030	1946	0	35	26	24	15	9	5684412	5711100	26688	5684412	5711100	26688	47751583	23831042	59766416	35002959	22411708	1291	5570417	80875	26458	7964012	21133	146860
phase_a	clic-validation-016	compact	1632	1224	1997568	1980366	1973373	6993	0	130	83	98	27	22	4555750	4600084	44334	4555750	4600084	44334	52563417	25540833	65281750	37908959	26247583	2541	5543000	258875	81500	7907478	29849	272740
phase_a	clic-validation-016	low-latency	1632	1224	1997568	1980366	1973373	6993	0	35	28	22	16	14	4701704	4753110	51406	4701704	4753110	51406	51199375	24283583	63684167	36520292	26246167	1542	5494542	82583	27292	7907478	10608	146860
phase_a	clic-validation-017	compact	1512	2016	3048192	2911361	2861257	50104	0	192	114	117	26	20	6691500	6840198	148698	6691500	6840198	148698	77749250	38445042	99471833	60341667	38896458	3917	8419500	383750	104333	11545236	33205	402816
phase_a	clic-validation-017	low-latency	1512	2016	3048192	2911361	2861257	50104	0	48	30	31	15	14	6719656	6845600	125944	6719656	6845600	125944	77084125	36623333	99202792	60390500	39339167	2167	8571750	101709	35041	11545236	11471	201408
phase_a	clic-validation-018	compact	1224	1632	1997568	1977130	1971003	6127	0	130	87	101	25	18	5115144	5000332	-114812	5115144	5000332	-114812	51429959	26612750	63445167	38771250	24858000	3542	5482875	266000	77083	7896266	33319	272740
phase_a	clic-validation-018	low-latency	1224	1632	1997568	1977130	1971003	6127	0	35	30	30	14	11	5118420	5034674	-83746	5118420	5034674	-83746	50782584	25006875	62563667	37511042	24881708	1958	5869167	81250	25833	7896266	11830	146860
phase_a	clic-validation-019	compact	1632	1224	1997568	1934222	1916208	18014	0	130	87	115	39	26	5039696	5087052	47356	5039696	5087052	47356	48673333	25970625	61915458	39332125	22321666	3292	5581000	273583	80084	7700860	39232	272740
phase_a	clic-validation-019	low-latency	1632	1224	1997568	1934222	1916208	18014	0	35	29	32	16	16	5108948	5107722	-1226	5108948	5107722	-1226	46747500	24369042	60277208	37619958	21932959	1750	5464416	71666	25334	7700860	13855	146860
phase_a	clic-validation-020	compact	2048	1153	2361344	2344169	2343250	919	0	160	117	142	41	30	6358216	6332178	-26038	6358216	6332178	-26038	53899917	30192291	67538250	43692542	22766625	6875	6367166	340625	107125	9374838	56244	335680
phase_a	clic-validation-020	low-latency	2048	1153	2361344	2344169	2343250	919	0	40	32	33	16	13	6430820	6393320	-37500	6430820	6393320	-37500	52690042	27956833	66630791	40978792	22694125	1583	6371833	88916	30667	9374838	18907	167840
phase_a	clic-validation-021	compact	1616	1212	1958592	1922833	1911280	11553	0	130	75	98	29	22	4565070	4742786	177716	4565070	4742786	177716	51987334	25665959	64722875	37888375	26582458	2584	5311459	279292	76666	7668226	25139	272740
phase_a	clic-validation-021	low-latency	1616	1212	1958592	1922833	1911280	11553	0	35	19	34	16	13	4693378	4818636	125258	4693378	4818636	125258	51158583	24009250	63732833	36410458	26490042	1542	5300542	70666	24208	7668226	9863	146860
phase_a	clic-validation-022	compact	1153	2048	2361344	2333856	2329641	4215	0	160	77	82	20	23	5628196	5588206	-39990	5628196	5588206	-39990	55600333	30510959	70698375	44400333	24808000	3000	6339958	344209	96209	9326994	26010	335680
phase_a	clic-validation-022	low-latency	1153	2048	2361344	2333856	2329641	4215	0	40	26	31	13	13	5628318	5598040	-30278	5628318	5598040	-30278	55205375	28402250	68538583	43131583	24652291	1791	6405250	80250	27083	9326994	9837	167840
phase_a	clic-validation-023	compact	2048	1153	2361344	2352824	2350134	2690	0	160	112	151	39	36	5856188	5789544	-66644	5856188	5789544	-66644	56870833	31100125	71036209	45472459	25273125	3125	6575792	331541	100917	9405916	38316	335680
phase_a	clic-validation-023	low-latency	2048	1153	2361344	2352824	2350134	2690	0	40	32	37	16	16	5979252	5834050	-145202	5979252	5834050	-145202	54976708	29294125	69561084	43631958	25313875	1667	6479625	80417	27459	9405916	12799	167840
phase_a	clic-validation-024	compact	1512	2016	3048192	2961766	2929749	32017	0	192	109	143	33	25	7349344	7362308	12964	7349344	7362308	12964	73291750	38980834	92885750	58644500	34169083	4083	8296833	385458	115375	11783030	44696	402816
phase_a	clic-validation-024	low-latency	1512	2016	3048192	2961766	2929749	32017	0	48	37	35	16	16	7363364	7434726	71362	7363364	7434726	71362	71836042	36162291	91331792	55933916	33690042	2042	8328417	100958	35917	11783030	14978	201408
phase_a	clic-validation-025	compact	2016	1512	3048192	2943744	2909338	34406	0	192	138	173	40	24	7869586	7972088	102502	7869586	7972088	102502	72225625	38635083	91677875	57771459	32736875	3667	8442250	399666	136958	11706164	65879	402816
phase_a	clic-validation-025	low-latency	2016	1512	3048192	2943744	2909338	34406	0	48	39	46	16	16	8063140	7956848	-106292	8063140	7956848	-106292	70301833	36644667	89600334	56213000	32621709	1917	8356791	97375	37042	11706164	21895	201408
phase_a	clic-validation-026	compact	1520	2048	3112960	3110495	3109449	1046	0	192	143	171	37	26	8259084	8240330	-18754	8259084	8240330	-18754	74247042	39309500	96971291	58158000	32305708	3666	8614750	387333	127458	12439888	61095	402816
phase_a	clic-validation-026	low-latency	1520	2048	3112960	3110495	3109449	1046	0	48	34	41	16	15	8349358	8267712	-81646	8349358	8267712	-81646	71711583	37678208	89543000	56601833	32447250	1958	8579000	96333	32666	12439888	18992	201408
phase_a	clic-validation-027	compact	1496	2000	2992000	2980276	2975192	5084	0	192	88	97	20	15	6933844	7028920	95076	6933844	7028920	95076	75538583	38750542	95542583	58082291	36707875	3541	8273584	375833	93000	11910936	20780	402816
phase_a	clic-validation-027	low-latency	1496	2000	2992000	2980276	2975192	5084	0	48	26	35	10	7	7076126	7135708	59582	7076126	7135708	59582	77641167	38279208	95907083	57307375	36975458	2167	8262875	119875	30666	11910936	7441	201408
phase_a	clic-validation-028	compact	2000	1496	2992000	2976290	2969360	6930	0	192	58	79	16	14	7265392	7350296	84904	7265392	7350296	84904	77293500	39188667	94567458	56595833	35943166	4666	8562917	421375	114458	11891300	22954	402816
phase_a	clic-validation-028	low-latency	2000	1496	2992000	2976290	2969360	6930	0	48	20	23	6	6	7360348	7338048	-22300	7360348	7338048	-22300	72351417	36007958	90585750	55616750	33897250	2291	8211167	94041	30333	11891300	9015	201408
phase_a	clic-validation-029	compact	1512	2016	3048192	2537893	2419496	118397	0	192	112	166	24	20	6107890	6051300	-56590	6107890	6051300	-56590	66626709	36692125	88110959	57998959	32290875	3792	8154292	378292	103625	9914778	32188	402816
phase_a	clic-validation-029	low-latency	1512	2016	3048192	2537893	2419496	118397	0	48	30	41	16	10	6030840	6260622	229782	6030840	6260622	229782	64842958	33937000	85502167	55740167	31808292	2000	8212250	94584	28458	9914778	11866	201408
phase_a	clic-validation-030	compact	2000	1496	2992000	2949694	2936137	13557	0	192	132	147	51	29	8257108	8343220	86112	8257108	8343220	86112	72536042	36593833	91496458	55006625	34594208	4417	8615833	414667	146791	11771662	82352	402816
phase_a	clic-validation-030	low-latency	2000	1496	2992000	2949694	2936137	13557	0	48	34	34	16	16	8705786	8571114	-134672	8705786	8571114	-134672	69631125	34448833	89825583	54417792	33073125	2083	8314500	100916	38333	11771662	28376	201408
phase_a	clic-validation-031	compact	1512	2016	3048192	2947066	2933749	13317	0	192	117	139	30	27	7174330	7252626	78296	7174330	7252626	78296	76411583	39635292	95960667	58853458	38360750	3916	8284375	385250	110958	11761630	39248	402816
phase_a	clic-validation-031	low-latency	1512	2016	3048192	2947066	2933749	13317	0	48	37	47	16	16	7277258	7252942	-24316	7277258	7252942	-24316	74920042	37066542	94164416	56215208	36868958	1875	8214917	100250	32500	11761630	14016	201408
phase_a	clic-validation-032	compact	2016	1512	3048192	2992912	2972925	19987	0	192	89	110	13	13	6915788	6892440	-23348	6915788	6892440	-23348	71933625	37720959	91700583	57254292	32962542	3958	8446667	377041	111542	11931674	36621	402816
phase_a	clic-validation-032	low-latency	2016	1512	3048192	2992912	2972925	19987	0	48	26	27	9	7	6987574	6909344	-78230	6987574	6909344	-78230	70857708	36163084	90978458	55990167	32438541	2042	8500125	107000	28625	11931674	12033	201408
