
running 1 test
p17	id	rgba_bytes	shared_prepare_ns	single_bytes	compact_control_bytes	low_control_bytes	r128_blocks	r128_counter_init_ns	r128_counter_update_ns	r128_counter_updates	r128_counter_storage_bytes	r128_e_proposal_ns	r128_b_proposal_ns	r128_e_cost_ns	r128_b_cost_ns	r128_reassignment_ns	r128_rebuild_ns	r128_refined_cost_ns	r128_candidate_selection_ns	r128_e_merge_updates	r128_b_merge_updates	r128_refined_merge_updates	r128_e_groups	r128_b_groups	r128_refined_groups	r128_retained_plan_bytes	r128_winner_plan_bytes	r128_initial	r128_winner	r128_ordered_bytes	r128_e_bits	r128_e_payload_bytes	r128_e_riff_bytes	r128_b_bits	r128_b_payload_bytes	r128_b_riff_bytes	r128_refined_bits	r128_refined_payload_bytes	r128_refined_riff_bytes	r128_winner_bits	r128_winner_payload_bytes	r128_winner_riff_bytes	r128_winner_hash	r256_blocks	r256_counter_init_ns	r256_counter_update_ns	r256_counter_updates	r256_counter_storage_bytes	r256_e_proposal_ns	r256_b_proposal_ns	r256_e_cost_ns	r256_b_cost_ns	r256_reassignment_ns	r256_rebuild_ns	r256_refined_cost_ns	r256_candidate_selection_ns	r256_e_merge_updates	r256_b_merge_updates	r256_refined_merge_updates	r256_e_groups	r256_b_groups	r256_refined_groups	r256_retained_plan_bytes	r256_winner_plan_bytes	r256_initial	r256_winner	r256_ordered_bytes	r256_e_bits	r256_e_payload_bytes	r256_e_riff_bytes	r256_b_bits	r256_b_payload_bytes	r256_b_riff_bytes	r256_refined_bits	r256_refined_payload_bytes	r256_refined_riff_bytes	r256_winner_bits	r256_winner_payload_bytes	r256_winner_riff_bytes	r256_winner_hash	resolution_selection_ns	single_selection_ns	selected_resolution	compact_kind	compact_bytes	compact_hash	public_compact_exact	low_kind	low_bytes	low_hash	public_low_exact	selected_128_matches_compact	maximum_accounted_live_bytes
p17	clic-validation-010	6441528	9877917	4753502	3997470	4032212	108	2666	4038333	6426030	226584	308292	104084	327583	314333	783792	76917	289750	42	32537	32537	32537	13	14	13	177284	57620	E	R	3997470	33129676	4141210	4141230	34033198	4254150	4254170	31635630	3954454	3954474	31635630	3954454	3954474	b2a924ad70cc87a8	30	1584	4039125	6426030	125880	91833	38208	272042	174166	242417	22125	204625	42	11177	11177	11177	9	7	9	110690	39846	E	R	4032212	33644371	4205547	4205568	34404872	4300609	4300630	32732084	4091511	4091532	32732084	4091511	4091532	03b4d8b41eab58f0	0	554958	128	128	3954474	b2a924ad70cc87a8	1	128	3954474	b2a924ad70cc87a8	1	1	403868
p17	clic-validation-011	3011904	4477459	2089316	1961344	2023660	48	1667	1924375	3010010	100704	147292	48375	403625	300083	427875	40792	393709	41	19369	19369	19369	16	11	16	190376	70832	E	R	1961344	15955764	1994471	1994492	16051172	2006397	2006418	15879387	1984924	1984944	15879387	1984924	1984944	d044ff339962a25d	12	5584	1926500	3010010	50352	41542	17209	200834	139500	155709	11292	182250	0	6054	6054	6054	7	5	7	84092	30980	E	E	2023660	16206366	2025796	2025816	16266428	2033304	2033324	16206366	2025796	2025816	16206366	2025796	2025816	ad71b82762fd8c0d	167	529541	128	128	1984944	d044ff339962a25d	1	128	1984944	d044ff339962a25d	1	1	291080
p17	clic-validation-012	7990272	12644125	5484646	4891824	5008486	130	4708	5099667	7972174	272740	379417	128500	649042	590792	1589666	96584	631666	42	31604	31604	31604	32	30	32	416246	141698	E	R	4891824	38892074	4861510	4861530	39187780	4898473	4898494	38382166	4797771	4797792	38382166	4797771	4797792	6c14fdf78db04253	35	1625	5094333	7972174	146860	107125	47125	363917	346583	345667	27250	338167	84	11212	11212	11212	16	16	16	212457	70819	E	E	5008486	39558834	4944855	4944876	39910430	4988804	4988824	39558834	4944855	4944876	39558834	4944855	4944876	111d133a0b35cfc1	42	176375	128	128	4797792	6c14fdf78db04253	1	128	4797792	6c14fdf78db04253	1	1	688986
p17	clic-validation-013	7990272	34149417	5657146	5058144	5153972	130	3916	21325333	7937916	272740	419125	138000	622792	528125	1074916	177000	745042	0	40556	40556	40556	27	24	24	332190	106306	B	R	5058144	41033937	5129243	5129264	40531908	5066489	5066510	40097783	5012223	5012244	40097783	5012223	5012244	5608c3101d30797c	35	2250	4967250	7937916	146860	104417	49250	453834	388667	364959	29417	358667	42	13869	13869	13869	16	16	16	212457	70819	B	B	5153972	40758773	5094847	5094868	40609576	5076197	5076218	40609576	5076197	5076218	40609576	5076197	5076218	3b2891148953315a	125	203291	128	128	5012244	5608c3101d30797c	1	128	5012244	5608c3101d30797c	1	1	604930
p17	clic-validation-014	7990272	12272708	5843580	5293592	5386808	130	4667	5130417	7923764	272740	375625	129125	733417	604250	1420583	103750	623792	42	47204	47204	47204	29	25	25	349886	110730	B	R	5293592	43603004	5450376	5450396	43350894	5418862	5418882	42381689	5297712	5297732	42381689	5297712	5297732	39a8f3bb2b78ce29	35	1292	5023333	7923764	146860	106208	47291	385750	332541	425042	30375	391041	0	16168	16168	16168	15	13	15	190337	66395	E	R	5386808	43310493	5413812	5413832	44011633	5501455	5501476	42601551	5325194	5325214	42601551	5325194	5325214	b9d3c7f28f88d8da	0	409999	128	128	5297732	39a8f3bb2b78ce29	1	128	5297732	39a8f3bb2b78ce29	1	1	622626
p17	clic-validation-015	7990272	12137125	5756418	5656200	5684412	130	3958	5285667	7964012	272740	375625	130459	471375	382917	975667	106500	467041	0	66117	66117	66117	18	15	18	226014	79762	E	R	5656200	45630639	5703830	5703850	45650752	5706344	5706364	45167516	5645940	5645960	45167516	5645940	5645960	c9534777b8b6cacd	35	1666	5020125	7964012	146860	98792	43000	271375	182333	282958	27625	251167	42	21133	21133	21133	9	5	9	101857	39851	E	R	5684412	45688635	5711080	5711100	45898674	5737335	5737356	45610842	5701356	5701376	45610842	5701356	5701376	2239b30615c97695	0	206166	128	128	5645960	c9534777b8b6cacd	1	128	5645960	c9534777b8b6cacd	1	1	498754
p17	clic-validation-016	7990272	13158500	5719120	4555750	4701704	130	3417	5003125	7907478	272740	386000	122000	464750	385584	988792	94458	450750	84	29849	29849	29849	22	19	22	279102	97458	E	R	4555750	36800498	4600063	4600084	36811149	4601394	4601414	36449037	4556130	4556150	36449037	4556130	4556150	0e584c021833b809	35	1500	4863833	7907478	146860	101541	59375	346041	246875	378583	29958	315458	83	10608	10608	10608	14	11	14	172641	61971	E	R	4701704	38024709	4753089	4753110	38074434	4759305	4759326	37943102	4742888	4742908	37943102	4742888	4742908	c30e4d1f28b21b41	125	177000	128	128	4556150	0e584c021833b809	1	128	4556150	0e584c021833b809	1	1	551842
p17	clic-validation-017	12192768	22797792	7456520	6691500	6719656	192	4750	7758750	11545236	402816	537334	171750	418834	332959	2498875	194625	719667	0	33205	33205	33205	20	17	20	252744	88672	E	R	6691500	54721421	6840178	6840198	54990977	6873873	6873894	52186028	6523254	6523274	52186028	6523254	6523274	c08795c03e9be29f	48	2167	7819375	11545236	201408	142667	58875	304000	224958	384916	34416	275667	167	11471	11471	11471	14	11	14	172680	61984	E	R	6719656	54764629	6845579	6845600	54941663	6867708	6867728	53297048	6662131	6662152	53297048	6662131	6662152	a41911716db39e87	0	287375	128	128	6523274	c08795c03e9be29f	1	128	6523274	c08795c03e9be29f	1	1	655560
p17	clic-validation-018	7990272	12512792	5461664	5115144	5118420	130	3625	4882166	7896266	272740	362709	121875	386042	280958	1014625	88417	389750	42	33319	33319	33319	18	13	18	217166	79762	E	R	5115144	40002491	5000312	5000332	40671103	5083888	5083908	38609454	4826182	4826202	38609454	4826182	4826202	6279873339095fd0	35	1459	4991666	7896266	146860	105291	41250	248042	196792	272291	24333	253792	0	11830	11830	11830	11	9	11	137249	48699	E	R	5118420	40277227	5034654	5034674	40725989	5090749	5090770	39767621	4970953	4970974	39767621	4970953	4970974	59baef36fceb1221	0	237625	128	128	4826202	6279873339095fd0	1	128	4826202	6279873339095fd0	1	1	489906
p17	clic-validation-019	7990272	13645042	5781646	5039696	5108948	130	3542	4751708	7700860	272740	358833	120208	562333	588500	1638791	88541	590125	0	39232	39232	39232	26	28	28	363158	124002	B	R	5039696	40696242	5087031	5087052	40638634	5079830	5079850	38268363	4783546	4783566	38268363	4783546	4783566	75328ad5326499e3	35	1958	5012000	7700860	146860	111958	49167	407416	307500	382250	27375	321083	42	13855	13855	13855	16	13	13	185913	57547	B	R	5108948	40861610	5107702	5107722	40228798	5028600	5028620	39731100	4966388	4966408	39731100	4966388	4966408	2da3eb61220fc518	125	180167	128	128	4783566	75328ad5326499e3	1	128	4783566	75328ad5326499e3	1	1	635898
