
running 1 test
measurement	decode	warmup	libwebp-m6	clic-validation-000	81764375	12192768	2946492	464ce5db301ecb19
measurement	decode	warmup	libwebp-m6	clic-validation-001	58981584	9437184	2684300	ac6ff401cad1e56a
measurement	decode	warmup	libwebp-m6	clic-validation-002	57587042	9437184	3045886	53073efbc9fbc324
measurement	decode	warmup	libwebp-m6	clic-validation-003	54314875	9437184	2970508	2d0e74cba29a55a5
measurement	decode	warmup	libwebp-m6	clic-validation-004	57487666	9437184	2245776	4545a7582ba384f7
measurement	decode	warmup	libwebp-m6	clic-validation-005	55181708	9437184	2342918	d810c411c455be8c
measurement	decode	warmup	libwebp-m6	clic-validation-006	53543666	9437184	2000588	f1f4f6e7dfa0083f
measurement	decode	warmup	libwebp-m6	clic-validation-007	77288292	12192768	3076236	228a2c6b57b23249
measurement	decode	warmup	libwebp-m6	clic-validation-008	43715958	7902720	1833840	dec398a774c113a2
measurement	decode	warmup	libwebp-m6	clic-validation-009	44562500	7902720	1728116	6bc0d1593454772e
measurement	decode	warmup	libwebp-m6	clic-validation-010	38378208	6441528	1967478	c9e307df409044b5
measurement	decode	warmup	libwebp-m6	clic-validation-011	17128458	3011904	944592	209831bda5d4627c
measurement	decode	warmup	libwebp-m6	clic-validation-012	48005417	7990272	1860524	3670defafa50ea4e
measurement	decode	warmup	libwebp-m6	clic-validation-013	46416166	7990272	2458060	1cd21726ef8f533f
measurement	decode	warmup	libwebp-m6	clic-validation-014	46288083	7990272	2546254	c2a93c8908bfb686
measurement	decode	warmup	libwebp-m6	clic-validation-015	48568958	7990272	2610506	c250b581a7aef503
measurement	decode	warmup	libwebp-m6	clic-validation-016	48184541	7990272	1935006	93bac67a01bb76e9
measurement	decode	warmup	libwebp-m6	clic-validation-017	79063208	12192768	2142236	5976bb2cf09b055b
measurement	decode	warmup	libwebp-m6	clic-validation-018	47969167	7990272	1923322	01f4dfd39c9dcea8
measurement	decode	warmup	libwebp-m6	clic-validation-019	45647834	7990272	1696204	baa5e95011876f48
measurement	decode	warmup	libwebp-m6	clic-validation-020	56704709	9445376	3141174	dc09bc9dbb42193d
measurement	decode	warmup	libwebp-m6	clic-validation-021	47592000	7834368	1665150	f6f48492d10740e0
measurement	decode	warmup	libwebp-m6	clic-validation-022	57114917	9445376	2051854	09fa4e4fe6aa63d6
