
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	2	27	28	18	19	118	113316	113852	2	6	443292	128625	214750	92375	879167	1443500	90625	574792	6063386	6040620	-22766	1	0
p16-step	clic-validation-001	compact	3	28	29	0	143	129	85263	67229	2	6	417250	105709	178041	82459	783500	1300750	90958	570292	6040620	6022244	-18376	1	0
p16-step	clic-validation-001	compact	4	29	30	26	7	56	74668	58665	5	3	420792	146291	255375	94667	917250	1503334	99917	667042	6022244	5993570	-28674	1	0
p16-step	clic-validation-001	compact	5	30	31	3	20	46	74506	68979	1	11	444916	252125	458417	115709	1271250	1410375	83458	581750	5993570	5984406	-9164	1	0
p16-step	clic-validation-001	compact	6	31	32	6	21	31	71931	64068	5	6	433541	224250	404500	97792	1160250	1627750	110375	677584	5984406	5972980	-11426	1	0
p16-step	clic-validation-001	compact	7	32	33	1	8	138	71256	59087	12	3	476792	291625	614792	110416	1493750	1738500	93750	688125	5972980	5968094	-4886	1	0
p16-step	clic-validation-001	compact	8	33	34	1	8	51	70220	51215	3	9	502791	240708	452833	93334	1289750	1599125	100209	710791	5968094	5947628	-20466	1	0
p16-step	clic-validation-001	compact	9	34	35	2	66	106	61512	51287	3	14	506333	358750	666291	93209	1624708	1543958	111542	798958	5947628	5935502	-12126	1	0
p16-step	clic-validation-001	compact	10	35	36	32	138	104	55944	49239	1	2	515833	47500	44167	100959	708542	1559834	93125	673125	5935502	5928564	-6938	1	0
p16-step	clic-validation-001	compact	11	36	37	25	11	126	55380	55279	1	5	479333	90583	138584	86666	795250	1528625	89875	719042	5928564	5921652	-6912	1	0
p16-step	clic-validation-001	compact	12	37	38	34	94	91	53225	44264	5	9	508041	298125	559000	93667	1458958	1752750	110125	801834	5921652	5907960	-13692	1	0
p16-step	clic-validation-001	compact	13	38	39	6	21	50	48236	40690	2	3	576208	76041	108417	94417	855250	1776333	96083	779875	5907960	5896668	-11292	1	0
p16-step	clic-validation-001	compact	14	39	40	27	136	118	43757	47561	4	2	500167	88042	135084	90375	813709	1677209	89875	760000	5896668	5883576	-13092	1	0
p16-step	clic-validation-001	compact	15	40	41	34	94	1	43756	28897	5	2	519209	119833	209541	86125	934834	1738917	110958	928625	5883576	5879712	-3864	1	0
p16-step	clic-validation-001	compact	16	41	42	10	95	72	42501	33647	1	3	588958	68792	86084	98584	842542	1878250	102667	909292	5879712	5873312	-6400	1	0
p16-step	clic-validation-001	compact	17	42	43	4	33	54	42128	41047	2	3	630125	89292	132750	96625	948875	1706041	94083	825000	5873312	5865692	-7620	1	0
p16-step	clic-validation-001	compact	18	43	44	33	89	52	42075	34829	2	7	595000	174583	320750	97875	1188333	1957416	106459	959000	5865692	5856788	-8904	1	0
p16-step	clic-validation-001	compact	19	44	45	28	128	127	39164	56878	5	1	591375	86208	124958	96125	898792	1787583	86583	820458	5856788	5844814	-11974	1	0
p16-step	clic-validation-001	compact	20	45	46	42	32	67	38646	35561	1	2	559709	47250	44084	85584	736709	1793542	90417	968250	5844814	5838492	-6322	1	0
p16-step	clic-validation-001	compact	21	46	47	12	120	105	38174	34868	1	1	737959	25542	1042	102167	866834	1882458	89125	884583	5838492	5834134	-4358	1	0
p16-step	clic-validation-001	compact	22	47	48	34	94	45	37840	22239	3	2	604958	87583	115167	90791	898583	1931417	91583	859041	5834134	5829392	-4742	1	0
p16-step	clic-validation-001	compact	23	48	49	11	137	112	35000	34394	3	4	579458	106958	177042	83542	947125	1920250	92416	910333	5829392	5819938	-9454	1	0
p16-step	clic-validation-001	compact	24	49	50	33	16	108	34458	24394	1	2	581875	40833	39625	85500	747917	1963584	93750	940833	5819938	5815760	-4178	1	0
p16-step	clic-validation-001	compact	25	50	51	26	7	6	34071	28547	4	1	601459	76541	139167	89166	906375	1966875	96708	936584	5815760	5813814	-1946	1	0
p16-step	clic-validation-001	compact	26	51	52	18	19	23	33281	33671	1	1	617084	26167	1291	105125	749792	2157416	99125	1046625	5813814	5809606	-4208	1	0
p16-step	clic-validation-001	compact	27	52	53	43	43	52	32244	25426	6	4	619625	190666	336750	94542	1241708	2003709	93250	996875	5809606	5791956	-17650	1	0
p16-step	clic-validation-001	compact	28	53	54	2	142	66	31672	50570	4	1	631791	77500	113875	90625	913875	2050208	101667	1203875	5791956	5786374	-5582	1	0
p16-step	clic-validation-001	compact	29	54	55	26	7	116	30705	22481	3	1	741208	61500	78208	99833	980791	2347833	110959	1025583	5786374	5779058	-7316	1	0
p16-step	clic-validation-001	compact	30	55	56	30	85	71	29727	39373	2	7	628459	181375	312959	89916	1212750	2118167	91833	1199583	5779058	5775042	-4016	1	0
p16-step	clic-validation-001	compact	31	56	57	38	15	50	28749	22290	3	1	767083	69875	85583	90333	1013000	2126041	97667	1030500	5775042	5770218	-4824	1	0
p16-step	clic-validation-001	compact	32	57	58	29	74	22	28577	21028	2	1	658916	46958	43417	86708	836125	2076916	99542	1034625	5770218	5764076	-6142	1	0
p16-step	clic-validation-001	compact	33	58	59	28	128	133	27349	25232	2	3	724000	75291	96125	105625	1001167	2330667	95208	1212000	5764076	5760102	-3974	1	0
p16-step	clic-validation-001	compact	34	59	60	2	142	80	27063	22484	1	3	775084	58875	73792	99917	1007792	2230958	97917	1080542	5760102	5757006	-3096	1	0
p16-step	clic-validation-001	compact	35	60	61	48	112	113	25856	21971	1	3	677458	58083	73208	88000	896833	2164291	91667	1144792	5757006	5754260	-2746	1	0
p16-step	clic-validation-001	compact	36	61	62	14	88	73	24911	20345	1	1	718333	22916	959	92125	834416	2206208	90375	1158250	5754260	5751718	-2542	1	0
p16-step	clic-validation-001	compact	37	62	63	7	110	124	24644	28413	2	2	715875	56542	71333	111833	955625	2229042	106292	1306917	5751718	5746360	-5358	1	0
p16-step	clic-validation-001	compact	38	63	64	30	26	85	24359	22543	2	1	785917	64291	60042	101750	1012042	2177750	92083	1160000	5746360	5742976	-3384	1	0
p16	clic-validation-001	low-latency	9437184	40	2458	4866667	9398430	168480	1311041	109375	47000	261250	245125	321875	22500	253958	1708	16334	16334	16334	16334	225784	50528909	6316114	6316134	12	50661167	6332646	6332666	11	50393004	6299126	6299146	12	49354678	6169335	6169356	16	6492644	6309214	R	Split	Split	6169356	3feec2167c55bb2d	4	1	1	1
