
running 1 test
phase_b	id	profile	width	height	pixels	blocks	ordered_exact_signature_differences	ordered_coarse_signature_differences	exact_coarse_signature_differences	ordered_exact_assignment_differences	ordered_coarse_assignment_differences	exact_coarse_assignment_differences	ordered_groups	exact_groups	coarse_groups	ordered_product_bytes	exact_product_bytes	coarse_product_bytes	exact_byte_delta	coarse_byte_delta	exact_derivation_ns	coarse_derivation_ns	exact_signature_cluster_ns	coarse_signature_cluster_ns
phase_b	clic-validation-084	compact	2048	1365	2795520	176	76	83	43	90	162	147	35	23	22	5985856	6076320	5945684	90464	-40172	341375	34417	349125	49500
phase_b	clic-validation-084	low-latency	2048	1365	2795520	48	23	22	15	32	47	46	16	11	13	6003064	6087628	5909566	84564	-93498	97958	26042	103250	30666
phase_b	clic-validation-085	compact	1158	772	893976	70	54	55	34	66	64	59	21	16	14	1935310	1942834	1948286	7524	12976	132166	14042	138000	18792
phase_b	clic-validation-085	low-latency	1158	772	893976	20	16	14	10	19	20	19	11	11	8	1954892	1985876	1993092	30984	38200	37916	10208	39625	11708
phase_b	clic-validation-086	compact	2048	1366	2797568	176	119	119	67	135	129	130	37	28	23	6780836	6973766	6941366	192930	160530	331250	34375	377416	49834
phase_b	clic-validation-086	low-latency	2048	1366	2797568	48	33	30	18	39	35	32	16	16	14	6923612	7111960	7125192	188348	201580	94917	25000	105417	29000
phase_b	clic-validation-087	compact	960	604	579840	40	25	26	13	31	38	28	14	8	12	1235750	1244174	1234488	8424	-1262	75291	8292	77666	10875
phase_b	clic-validation-087	low-latency	960	604	579840	12	8	10	6	8	9	11	5	5	7	1252050	1238624	1231224	-13426	-20826	27125	6125	23667	7250
phase_b	clic-validation-088	compact	1440	900	1296000	96	78	71	51	85	81	68	26	26	24	3237528	3204430	3176378	-33098	-61150	198250	19875	208041	28167
phase_b	clic-validation-088	low-latency	1440	900	1296000	24	20	19	14	21	19	24	13	11	13	3293512	3286238	3289820	-7274	-3692	52375	12083	48417	14541
phase_b	clic-validation-089	compact	1922	1281	2462082	176	126	121	57	129	154	140	29	28	22	6517422	6499406	6453068	-18016	-64354	381916	40291	405292	53291
phase_b	clic-validation-089	low-latency	1922	1281	2462082	48	32	33	14	31	34	42	16	15	11	6529714	6515664	6565814	-14050	36100	93916	24167	96542	27416
phase_b	clic-validation-090	compact	2048	1365	2795520	176	117	116	61	165	171	118	28	28	27	6442454	6525430	6342684	82976	-99770	356834	38667	374666	55791
phase_b	clic-validation-090	low-latency	2048	1365	2795520	48	37	31	19	34	38	34	16	15	15	6588194	6699018	6579346	110824	-8848	100083	25500	101000	29167
phase_b	clic-validation-091	compact	512	384	196608	12	7	9	5	10	8	7	7	7	6	457864	459144	454858	1280	-3006	22667	2541	23750	3291
phase_b	clic-validation-091	low-latency	512	384	196608	4	3	4	2	4	4	0	3	3	3	486686	493614	493614	6928	6928	7583	2375	8208	2625
phase_b	clic-validation-092	compact	2048	1365	2795520	176	105	116	54	164	159	89	23	24	18	6816046	6789430	6700334	-26616	-115712	348125	34000	350000	47125
phase_b	clic-validation-092	low-latency	2048	1365	2795520	48	29	31	17	31	34	21	15	10	13	6821520	6765716	6747658	-55804	-73862	94625	27958	101458	30000
phase_b	clic-validation-093	compact	1542	1028	1585176	117	65	64	29	85	112	116	20	17	13	3572272	3580656	3592128	8384	19856	226708	23750	255084	30250
phase_b	clic-validation-093	low-latency	1542	1028	1585176	35	26	29	8	32	30	21	13	11	10	3597412	3680640	3672250	83228	74838	66250	17667	69125	20000
phase_b	clic-validation-094	compact	2048	1367	2799616	176	122	116	51	157	175	151	35	29	27	5988924	6029658	5962480	40734	-26444	331666	35542	354041	52000
phase_b	clic-validation-094	low-latency	2048	1367	2799616	48	37	35	15	46	46	36	16	16	16	6119372	6022062	6123100	-97310	3728	96083	31500	103750	28084
phase_b	clic-validation-095	compact	1264	790	998560	70	52	49	31	62	66	63	27	21	23	2710854	2702912	2707848	-7942	-3006	131916	14125	139375	21375
phase_b	clic-validation-095	low-latency	1264	790	998560	20	15	16	10	16	16	16	13	13	13	2736452	2735016	2727548	-1436	-8904	37667	10292	40125	12125
phase_b	clic-validation-096	compact	720	439	316080	24	20	18	10	20	18	23	11	9	7	794174	787268	799326	-6906	5152	45333	4917	46917	6166
phase_b	clic-validation-096	low-latency	720	439	316080	6	5	5	1	5	4	3	5	3	3	797744	810194	813426	12450	15682	11333	3208	11958	3625
phase_b	clic-validation-097	compact	2048	1033	2115584	144	78	84	37	119	124	103	17	12	12	4853630	4875936	4984776	22306	131146	288875	29334	301167	36375
phase_b	clic-validation-097	low-latency	2048	1033	2115584	40	21	22	11	37	34	30	14	8	9	4881750	4984448	4900796	102698	19046	75750	20166	83167	22375
phase_b	clic-validation-098	compact	2048	1366	2797568	176	160	159	88	165	164	171	50	27	26	7500734	7538324	7566272	37590	65538	331959	34292	365042	51792
phase_b	clic-validation-098	low-latency	2048	1366	2797568	48	45	46	33	44	43	40	16	11	13	7582970	7646604	7640324	63634	57354	95208	25125	99916	29875
phase_b	clic-validation-099	compact	1848	1224	2261952	150	84	86	35	88	90	52	28	22	19	3909204	3927002	3931396	17798	22192	297709	29916	304709	40750
phase_b	clic-validation-099	low-latency	1848	1224	2261952	40	26	28	6	25	28	9	12	10	10	3924250	3953972	3975398	29722	51148	78541	20250	78625	22209
phase_b	clic-validation-100	compact	1988	1325	2634100	176	72	78	44	159	163	110	30	24	22	5764820	6261310	5972462	496490	207642	346541	35833	364917	50834
phase_b	clic-validation-100	low-latency	1988	1325	2634100	48	24	28	14	44	46	38	16	14	16	6078404	6298552	6191164	220148	112760	90792	24209	95791	28291
phase_b	clic-validation-101	compact	2048	1365	2795520	176	110	112	49	138	142	159	26	24	22	6502912	6572492	6530682	69580	27770	335542	34208	353167	48666
phase_b	clic-validation-101	low-latency	2048	1365	2795520	48	37	38	11	41	47	40	15	11	11	6552670	6527338	6521864	-25332	-30806	91750	24250	96458	27125
test encoder::product_benchmark_tests::product_validation_reproducer ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 38 filtered out; finished in 53.44s
