
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	2	27	28	18	19	118	113316	113852	2	6	412708	115417	200541	95042	823750	1308583	85042	535250	6063386	6040620	-22766	1	0
p16-step	clic-validation-001	compact	3	28	29	0	143	129	85263	67229	2	6	400708	145750	182417	103917	833125	1416250	90125	613250	6040620	6022244	-18376	1	0
p16-step	clic-validation-001	compact	4	29	30	26	7	56	74668	58665	5	3	428000	140000	241042	84375	893542	1332708	89000	578292	6022244	5993570	-28674	1	0
p16-step	clic-validation-001	compact	5	30	31	3	20	46	74506	68979	1	11	420041	238875	435792	85584	1180416	1372167	84625	584916	5993570	5984406	-9164	1	0
p16-step	clic-validation-001	compact	6	31	32	6	21	31	71931	64068	5	6	424375	189458	356792	84125	1054833	1434000	88042	659708	5984406	5972980	-11426	1	0
p16-step	clic-validation-001	compact	7	32	33	1	8	138	71256	59087	12	3	434375	289584	534333	87292	1345625	1432959	84917	612208	5972980	5968094	-4886	1	0
p16-step	clic-validation-001	compact	8	33	34	1	8	51	70220	51215	3	9	442875	223750	413500	88625	1168791	1427667	88583	633708	5968094	5947628	-20466	1	0
p16-step	clic-validation-001	compact	9	34	35	2	66	106	61512	51287	3	14	452625	346959	707709	103417	1610834	1608292	97416	705250	5947628	5935502	-12126	1	0
p16-step	clic-validation-001	compact	10	35	36	32	138	104	55944	49239	1	2	561125	45125	42000	92417	740750	1604417	90250	734500	5935502	5928564	-6938	1	0
p16-step	clic-validation-001	compact	11	36	37	25	11	126	55380	55279	1	5	510375	93000	142291	84667	830458	1528292	86583	678625	5928564	5921652	-6912	1	0
p16-step	clic-validation-001	compact	12	37	38	34	94	91	53225	44264	5	9	472958	274542	567500	100709	1415792	1735250	84959	726917	5921652	5907960	-13692	1	0
p16-step	clic-validation-001	compact	13	38	39	6	21	50	48236	40690	2	3	486375	71667	105458	86000	749542	1593500	97542	710792	5907960	5896668	-11292	1	0
