
running 1 test
stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-010	low-latency-control	4032212	c9e307df409044b5	b3f35799b19cb083	45941750	1
stream	clic-validation-011	default	2219464	209831bda5d4627c	34496a363e4130be	31294042	1
stream	clic-validation-011	single	2089316	209831bda5d4627c	3bb5281d1bca622c	16512875	1
stream	clic-validation-011	compact	1984944	209831bda5d4627c	d044ff339962a25d	15563667	1
stream	clic-validation-011	low-latency	2025816	209831bda5d4627c	ad71b82762fd8c0d	13341541	1
stream	clic-validation-011	compact-control	1961344	209831bda5d4627c	9e7fedd69fae81d4	21751833	1
stream	clic-validation-011	low-latency-control	2023660	209831bda5d4627c	0dee869344112095	19292250	1
stream	clic-validation-012	default	5327640	3670defafa50ea4e	974970776d77cc97	83627333	1
stream	clic-validation-012	single	5484646	3670defafa50ea4e	c91242b4704f5bee	42983708	1
stream	clic-validation-012	compact	4797792	3670defafa50ea4e	6c14fdf78db04253	40977375	1
stream	clic-validation-012	low-latency	4944876	3670defafa50ea4e	111d133a0b35cfc1	37719542	1
stream	clic-validation-012	compact-control	4891824	3670defafa50ea4e	c7ca321d2e5ff1ef	61115041	1
stream	clic-validation-012	low-latency-control	5008486	3670defafa50ea4e	c8a6ca1f27fee40c	60438750	1
stream	clic-validation-013	default	5522704	1cd21726ef8f533f	cffb1a687a67d8c4	81973000	1
stream	clic-validation-013	single	5657146	1cd21726ef8f533f	13368cae9db9e711	44817500	1
stream	clic-validation-013	compact	5012244	1cd21726ef8f533f	5608c3101d30797c	40554542	1
stream	clic-validation-013	low-latency	5076218	1cd21726ef8f533f	3b2891148953315a	37467291	1
stream	clic-validation-013	compact-control	5058144	1cd21726ef8f533f	018d6fc3bf5a4998	58044916	1
stream	clic-validation-013	low-latency-control	5153972	1cd21726ef8f533f	d0fd577c198f05ca	55538458	1
stream	clic-validation-014	default	5417568	c2a93c8908bfb686	50c467e373e874e9	82991458	1
stream	clic-validation-014	single	5843580	c2a93c8908bfb686	347b4f1adcf1aff0	44739666	1
stream	clic-validation-014	compact	5297732	c2a93c8908bfb686	39a8f3bb2b78ce29	39993167	1
stream	clic-validation-014	low-latency	5325214	c2a93c8908bfb686	b9d3c7f28f88d8da	36967000	1
stream	clic-validation-014	compact-control	5293592	c2a93c8908bfb686	6839d747d9b3ecd3	56289125	1
stream	clic-validation-014	low-latency-control	5386808	c2a93c8908bfb686	2f0e2ce078dfa0e0	53536333	1
stream	clic-validation-015	default	5769074	c250b581a7aef503	917c347063502833	80912417	1
stream	clic-validation-015	single	5756418	c250b581a7aef503	fecd974faf6423db	44769375	1
stream	clic-validation-015	compact	5645960	c250b581a7aef503	c9534777b8b6cacd	40054333	1
stream	clic-validation-015	low-latency	5701376	c250b581a7aef503	2239b30615c97695	35081708	1
stream	clic-validation-015	compact-control	5656200	c250b581a7aef503	e1e43c8a3678dc0d	57317542	1
stream	clic-validation-015	low-latency-control	5684412	c250b581a7aef503	e4114154d23303f0	54390458	1
stream	clic-validation-016	default	5331074	93bac67a01bb76e9	ea97b8fd9e601bd7	121181334	1
stream	clic-validation-016	single	5719120	93bac67a01bb76e9	fae47d708de26593	45571417	1
stream	clic-validation-016	compact	4556150	93bac67a01bb76e9	0e584c021833b809	39767625	1
stream	clic-validation-016	low-latency	4742908	93bac67a01bb76e9	c30e4d1f28b21b41	38468875	1
stream	clic-validation-016	compact-control	4555750	93bac67a01bb76e9	d74e0485d62c6a97	63000625	1
stream	clic-validation-016	low-latency-control	4701704	93bac67a01bb76e9	709af32520817fe5	140071208	1
stream	clic-validation-017	default	6910582	5976bb2cf09b055b	9dca386baa84de75	263419041	1
stream	clic-validation-017	single	7456520	5976bb2cf09b055b	9d34d150d714ba66	67232500	1
stream	clic-validation-017	compact	6523274	5976bb2cf09b055b	c08795c03e9be29f	63812292	1
stream	clic-validation-017	low-latency	6662152	5976bb2cf09b055b	a41911716db39e87	57603584	1
stream	clic-validation-017	compact-control	6691500	5976bb2cf09b055b	ec0a33bc3dd53d6d	92018500	1
stream	clic-validation-017	low-latency-control	6719656	5976bb2cf09b055b	00d466397d9cf7a6	89263958	1
stream	clic-validation-018	default	5479718	01f4dfd39c9dcea8	586971827b38044c	106801125	1
stream	clic-validation-018	single	5461664	01f4dfd39c9dcea8	07d1df74aefe3a34	42596375	1
stream	clic-validation-018	compact	4826202	01f4dfd39c9dcea8	6279873339095fd0	40614875	1
stream	clic-validation-018	low-latency	4970974	01f4dfd39c9dcea8	59baef36fceb1221	37132334	1
stream	clic-validation-018	compact-control	5115144	01f4dfd39c9dcea8	61a83d9e32466dda	58396667	1
stream	clic-validation-018	low-latency-control	5118420	01f4dfd39c9dcea8	eb054bdbdfb3c853	55735791	1
stream	clic-validation-019	default	4600256	baa5e95011876f48	9cd109890f83cfcb	104715542	1
stream	clic-validation-019	single	5781646	baa5e95011876f48	863270b6e9837312	43555375	1
stream	clic-validation-019	compact	4783566	baa5e95011876f48	75328ad5326499e3	41964333	1
stream	clic-validation-019	low-latency	4966408	baa5e95011876f48	2da3eb61220fc518	37069417	1
stream	clic-validation-019	compact-control	5039696	baa5e95011876f48	b07bddc8d312f434	56495875	1
stream	clic-validation-019	low-latency-control	5108948	baa5e95011876f48	fc80d328d4116136	54241292	1
stream	clic-validation-020	default	6941342	dc09bc9dbb42193d	013e51c9f7b09046	95229500	1
stream	clic-validation-020	single	6827556	dc09bc9dbb42193d	5c12809daf0176f6	51048291	1
stream	clic-validation-020	compact	6211508	dc09bc9dbb42193d	cd8ca3773f6ac558	47014583	1
stream	clic-validation-020	low-latency	6359472	dc09bc9dbb42193d	8ad30a20954954ed	41291542	1
stream	clic-validation-020	compact-control	6358216	dc09bc9dbb42193d	466e96893e179b35	61108667	1
stream	clic-validation-020	low-latency-control	6430820	dc09bc9dbb42193d	a70878ccda5dadb3	59082542	1
stream	clic-validation-021	default	4572734	f6f48492d10740e0	33fb46ef6ba1f5a1	107477583	1
stream	clic-validation-021	single	5339060	f6f48492d10740e0	ccd8b949dd571e63	43149208	1
stream	clic-validation-021	compact	4600432	f6f48492d10740e0	b61838b80a2f6b2c	42836000	1
stream	clic-validation-021	low-latency	4754854	f6f48492d10740e0	5c5ba6cd8b05f7ca	41247458	1
stream	clic-validation-021	compact-control	4565070	f6f48492d10740e0	e6ea7751bb0fa96c	60355416	1
stream	clic-validation-021	low-latency-control	4693378	f6f48492d10740e0	eeacf5658ce6dae5	59253834	1
stream	clic-validation-022	default	5589618	09fa4e4fe6aa63d6	63ff83e12942115c	129074209	1
stream	clic-validation-022	single	6415554	09fa4e4fe6aa63d6	81be446d2a8c556c	50032292	1
stream	clic-validation-022	compact	5217358	09fa4e4fe6aa63d6	170bf3f75b57a5ac	46194417	1
stream	clic-validation-022	low-latency	5534706	09fa4e4fe6aa63d6	46334efff9e3cd0e	44214250	1
stream	clic-validation-022	compact-control	5628196	09fa4e4fe6aa63d6	52980d6296da50c6	62721833	1
stream	clic-validation-022	low-latency-control	5628318	09fa4e4fe6aa63d6	f1df5dd2f587a11e	60185208	1
stream	clic-validation-023	default	5744942	f8a29bed56822898	888a89a2372efb77	96416125	1
stream	clic-validation-023	single	6765154	f8a29bed56822898	568cb7d093250c0e	51191250	1
stream	clic-validation-023	compact	5588180	f8a29bed56822898	c3aa95790988458e	47723042	1
stream	clic-validation-023	low-latency	5700484	f8a29bed56822898	40d3c4d1ba9b054f	41978042	1
stream	clic-validation-023	compact-control	5856188	f8a29bed56822898	14a3cbdb5772f655	63705208	1
stream	clic-validation-023	low-latency-control	5979252	f8a29bed56822898	86417f977d44787c	61192375	1
