
running 1 test
p16	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	self_cost_ns	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	p15_reassignment_ns	p15_rebuild_ns	refined_cost_ns	selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	split_merge_updates	retained_plan_bytes	e_bits	e_payload_bytes	e_riff_bytes	e_groups	b_bits	b_payload_bytes	b_riff_bytes	b_groups	refined_bits	refined_payload_bytes	refined_riff_bytes	refined_groups	split_bits	split_payload_bytes	split_riff_bytes	split_groups	single_riff_bytes	control_riff_bytes	initial_kind	selected_kind	final_kind	final_riff_bytes	final_hash	growth_steps	public_exact	eb_selector_exact	final_selector_exact
p16-step	id	profile	iteration	before_groups	resulting_groups	source_group	seed_one	seed_two	regret	seed_penalty	old_partition_blocks	new_partition_blocks	regret_ns	seed_ns	partition_ns	split_rebuild_ns	split_ns	reassignment_ns	rebuild_ns	exact_cost_ns	before_riff_bytes	candidate_riff_bytes	riff_delta	accepted	assignments_stable
p16-step	clic-validation-001	compact	2	27	28	18	19	118	113316	113852	2	6	402417	119291	210167	84041	816042	1335000	87083	587833	6063386	6040620	-22766	1	0
p16-step	clic-validation-001	compact	3	28	29	0	143	129	85263	67229	2	6	415291	110958	185459	84959	796791	1339792	83666	583750	6040620	6022244	-18376	1	0
p16-step	clic-validation-001	compact	4	29	30	26	7	56	74668	58665	5	3	446625	142084	252083	94292	935084	1354250	97583	604375	6022244	5993570	-28674	1	0
p16-step	clic-validation-001	compact	5	30	31	3	20	46	74506	68979	1	11	417250	257792	475625	81166	1231916	1382750	84167	673792	5993570	5984406	-9164	1	0
p16-step	clic-validation-001	compact	6	31	32	6	21	31	71931	64068	5	6	505167	231333	370833	101083	1208500	1567083	112375	690709	5984406	5972980	-11426	1	0
p16-step	clic-validation-001	compact	7	32	33	1	8	138	71256	59087	12	3	447292	296041	559667	96500	1399625	1513583	83667	650833	5972980	5968094	-4886	1	0
p16-step	clic-validation-001	compact	8	33	34	1	8	51	70220	51215	3	9	476542	240166	453583	88708	1259083	1544583	97958	803084	5968094	5947628	-20466	1	0
p16-step	clic-validation-001	compact	9	34	35	2	66	106	61512	51287	3	14	521583	386250	727708	91417	1727083	1703084	97042	762417	5947628	5935502	-12126	1	0
p16-step	clic-validation-001	compact	10	35	36	32	138	104	55944	49239	1	2	493291	43667	42666	94834	674541	1517458	85375	719958	5935502	5928564	-6938	1	0
p16-step	clic-validation-001	compact	11	36	37	25	11	126	55380	55279	1	5	482083	108125	166542	88083	844958	1602541	90417	804000	5928564	5921652	-6912	1	0
p16-step	clic-validation-001	compact	12	37	38	34	94	91	53225	44264	5	9	512750	293917	568666	115375	1490792	1614583	84208	734291	5921652	5907960	-13692	1	0
p16-step	clic-validation-001	compact	13	38	39	6	21	50	48236	40690	2	3	483792	75417	110417	87000	756709	1594166	84709	740708	5907960	5896668	-11292	1	0
p16-step	clic-validation-001	compact	14	39	40	27	136	118	43757	47561	4	2	500959	87917	149833	81834	820625	1797750	82958	800167	5896668	5883576	-13092	1	0
p16-step	clic-validation-001	compact	15	40	41	34	94	1	43756	28897	5	2	499750	123750	232750	86542	942917	1718792	97833	801958	5883576	5879712	-3864	1	0
p16-step	clic-validation-001	compact	16	41	42	10	95	72	42501	33647	1	3	511417	68250	86625	83209	749584	1628667	83500	801292	5879712	5873312	-6400	1	0
p16-step	clic-validation-001	compact	17	42	43	4	33	54	42128	41047	2	3	516333	89416	169458	126167	901541	1891917	97208	990042	5873312	5865692	-7620	1	0
p16-step	clic-validation-001	compact	18	43	44	33	89	52	42075	34829	2	7	597042	225917	306500	84500	1214042	1856542	99792	881500	5865692	5856788	-8904	1	0
p16-step	clic-validation-001	compact	19	44	45	28	128	127	39164	56878	5	1	560625	81875	146792	83917	873333	1811208	84583	1066458	5856788	5844814	-11974	1	0
p16-step	clic-validation-001	compact	20	45	46	42	32	67	38646	35561	1	2	632334	59209	49000	98333	839042	1909958	84333	924334	5844814	5838492	-6322	1	0
p16-step	clic-validation-001	compact	21	46	47	12	120	105	38174	34868	1	1	583250	22375	833	90541	697083	1863542	103458	903083	5838492	5834134	-4358	1	0
p16-step	clic-validation-001	compact	22	47	48	34	94	45	37840	22239	3	2	626542	85958	127417	85500	925459	2017167	111458	1066083	5834134	5829392	-4742	1	0
p16-step	clic-validation-001	compact	23	48	49	11	137	112	35000	34394	3	4	661584	123959	213833	101583	1101000	2106333	93750	987125	5829392	5819938	-9454	1	0
p16-step	clic-validation-001	compact	24	49	50	33	16	108	34458	24394	1	2	597125	41791	39667	85666	764291	1961875	94583	1107416	5819938	5815760	-4178	1	0
