
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	groups	candidate_won	production_exact	residual_ns	tokenization_ns	block_census_ns	seed_rank_assign_ns	group_frequency_ns	table_build_ns	packed_writer_ns	wrap_compare_ns	bytes	stream_hash
phase_a	clic-validation-016	compact	1632	1224	1997568	1980366	1973373	6993	0	130	27	1	1	5069625	7349584	23953834	22792	6235250	1626416	26077084	136334	4555750	d74e0485d62c6a97
phase_a	clic-validation-016	low-latency	1632	1224	1997568	1980366	1973373	6993	0	35	16	1	1	4926416	7396750	23725250	9292	6001125	1423084	25533875	117458	4701704	709af32520817fe5
phase_a	clic-validation-017	compact	1512	2016	3048192	2911361	2861257	50104	0	192	26	1	1	7529625	14101917	35122958	25208	9988250	2138000	39017375	166250	6691500	ec0a33bc3dd53d6d
phase_a	clic-validation-017	low-latency	1512	2016	3048192	2911361	2861257	50104	0	48	15	1	1	7379084	14099209	34757667	10917	9412583	1956083	38138792	135750	6719656	00d466397d9cf7a6
phase_a	clic-validation-018	compact	1224	1632	1997568	1977130	1971003	6127	0	130	25	1	1	4957250	7131500	21919417	19958	6432375	1675375	26979375	106250	5115144	61a83d9e32466dda
phase_a	clic-validation-018	low-latency	1224	1632	1997568	1977130	1971003	6127	0	35	14	1	1	4907334	7184833	21949416	8833	6152834	1460292	26066958	130541	5118420	eb054bdbdfb3c853
phase_a	clic-validation-019	compact	1632	1224	1997568	1934222	1916208	18014	0	130	39	1	1	4945333	8029542	19016000	25625	6377583	1960333	26082625	128875	5039696	b07bddc8d312f434
phase_a	clic-validation-019	low-latency	1632	1224	1997568	1934222	1916208	18014	0	35	16	1	1	4706541	8139959	18814417	19000	5905625	1478000	25077166	115875	5108948	fc80d328d4116136
phase_a	clic-validation-020	compact	2048	1153	2361344	2344169	2343250	919	0	160	41	1	1	5732917	7213042	19375250	30875	7194708	2187291	31137458	127042	6358216	466e96893e179b35
phase_a	clic-validation-020	low-latency	2048	1153	2361344	2344169	2343250	919	0	40	16	1	1	5971291	7333125	19304458	8667	6665625	1777500	30705583	150209	6430820	a70878ccda5dadb3
phase_a	clic-validation-021	compact	1616	1212	1958592	1922833	1911280	11553	0	130	29	1	1	4696666	7614042	24373333	20750	6042333	1731875	26871667	114916	4565070	e6ea7751bb0fa96c
phase_a	clic-validation-021	low-latency	1616	1212	1958592	1922833	1911280	11553	0	35	16	1	1	4704792	7432625	24065541	9167	5969000	1394375	24634333	89916	4693378	eeacf5658ce6dae5
phase_a	clic-validation-022	compact	1153	2048	2361344	2333856	2329641	4215	0	160	20	1	1	5961417	8257833	21467584	17459	7349750	1681833	31014667	186667	5628196	52980d6296da50c6
phase_a	clic-validation-022	low-latency	1153	2048	2361344	2333856	2329641	4215	0	40	13	1	1	5764375	8316333	20991667	8083	6825792	1537583	30312292	100833	5628318	f1df5dd2f587a11e
phase_a	clic-validation-023	compact	2048	1153	2361344	2352824	2350134	2690	0	160	39	1	1	5693958	8199083	21816292	33166	7358875	2102542	31652958	110417	5856188	14a3cbdb5772f655
phase_a	clic-validation-023	low-latency	2048	1153	2361344	2352824	2350134	2690	0	40	16	1	1	5673667	8381208	21444791	12250	7146958	1647250	30577875	120334	5979252	86417f977d44787c
phase_a	clic-validation-024	compact	1512	2016	3048192	2961766	2929749	32017	0	192	33	1	1	7491500	12246542	29765291	34708	9498500	2371833	39615958	139875	7349344	fabb08f2175b9ae9
phase_a	clic-validation-024	low-latency	1512	2016	3048192	2961766	2929749	32017	0	48	16	1	1	7491166	12006000	29664833	7084	9114209	1903375	38069875	158916	7363364	382bb2aa62af6523
phase_a	clic-validation-025	compact	2016	1512	3048192	2943744	2909338	34406	0	192	40	1	1	7622416	11673792	28119666	36792	9529750	2638417	39520833	150542	7869586	8e2bafa718f19a77
phase_a	clic-validation-025	low-latency	2016	1512	3048192	2943744	2909338	34406	0	48	16	1	1	7460167	11569666	28057375	15667	9522833	2172000	38162958	160875	8063140	7e0fa761ed6d5c04
