
running 1 test
phase_a	id	profile	width	height	pixels	tokens	literals	copies	caches	blocks	groups	candidate_won	production_exact	residual_ns	tokenization_ns	block_census_ns	seed_rank_assign_ns	group_frequency_ns	table_build_ns	packed_writer_ns	wrap_compare_ns	bytes	stream_hash
phase_a	clic-validation-067	compact	2048	1361	2787328	2702705	2689865	12840	0	176	47	1	1	6781000	9118334	26975542	36875	8464625	2672667	36894375	154209	7149540	f86f38b425bbb9ae
phase_a	clic-validation-067	low-latency	2048	1361	2787328	2702705	2689865	12840	0	48	16	1	1	6820666	9072334	26719500	10458	7976459	1878666	35678000	180167	7399782	d72b4c7cdf857515
phase_a	clic-validation-068	compact	2048	1365	2795520	2755369	2746686	8683	0	176	42	1	1	6883250	9845208	24033667	33000	8436625	2375083	37025458	133292	7005466	4cb7385c0a5f6638
phase_a	clic-validation-068	low-latency	2048	1365	2795520	2755369	2746686	8683	0	48	16	1	1	6762834	9716291	23707084	11250	7962500	1875542	35330458	173750	7198452	7a84e73f79b0fdc3
phase_a	clic-validation-069	compact	2048	1360	2785280	2734065	2722969	11096	0	176	12	1	1	6891875	9106125	26157583	14208	8350292	1722625	35916375	142500	6211560	99d66288192faf0e
phase_a	clic-validation-069	low-latency	2048	1360	2785280	2734065	2722969	11096	0	48	12	1	1	6703958	8825833	25887667	7458	7777583	1764625	34328709	118041	6218740	6b8bb6e5888b580f
phase_a	clic-validation-070	compact	2048	1365	2795520	2791502	2789914	1588	0	176	27	1	1	6905708	9157250	24195083	24542	8346375	2139375	37101334	139333	7163008	8a0ef1ddf72b58c1
phase_a	clic-validation-070	low-latency	2048	1365	2795520	2791502	2789914	1588	0	48	16	1	1	6836750	8827292	24811458	9125	8058208	1770000	36066500	139417	7230868	75e2af3b24d7903e
phase_a	clic-validation-071	compact	1500	844	1266000	1265710	1265575	135	0	84	18	1	1	3294666	3942834	10089084	11750	3960542	1029541	16847750	96416	3221288	52e297ec31cd7584
phase_a	clic-validation-071	low-latency	1500	844	1266000	1265710	1265575	135	0	24	10	1	1	2991042	4199208	10186542	7666	3755750	932125	16712458	63375	3213510	97871cdbb7768cd6
phase_a	clic-validation-072	compact	1945	1292	2512940	2412087	2379578	32509	0	176	28	1	1	6281917	10131000	27967875	25292	8055791	1956208	31630417	154916	5618140	77a18569b2fbc676
phase_a	clic-validation-072	low-latency	1945	1292	2512940	2412087	2379578	32509	0	48	16	1	1	6219833	10547042	27868042	9833	7669291	1825208	31577333	117833	5704026	516c79a825b68689
phase_a	clic-validation-073	compact	2040	1360	2774400	2594153	2551875	42278	0	176	38	1	1	6762208	10871125	30362125	33625	8636042	2405208	34857833	159167	7178514	cdbc635b3c0e390d
phase_a	clic-validation-073	low-latency	2040	1360	2774400	2594153	2551875	42278	0	48	14	1	1	6845000	10808500	29950791	12125	8309875	1923375	33740166	137792	7211752	8da5fa55b485fee4
phase_a	clic-validation-074	compact	1750	1166	2040500	2040453	2040430	23	0	140	18	1	1	5249292	6448959	19145375	15125	6435875	1690791	26537708	146667	5322948	816ee3f0f9174443
phase_a	clic-validation-074	low-latency	1750	1166	2040500	2040453	2040430	23	0	35	8	1	1	5098875	6205709	19232250	4041	5990792	1273666	26199917	109209	5084390	203b103a681adcf1
phase_a	clic-validation-075	compact	2048	1370	2805760	2804823	2804425	398	0	176	26	1	1	7073667	8750208	26492584	23167	8392083	2204250	37498916	131167	7194564	43d16d3a3736d65c
phase_a	clic-validation-075	low-latency	2048	1370	2805760	2804823	2804425	398	0	48	16	1	1	6723459	8588208	26791584	7542	8224958	1977917	36428500	174042	7239090	9b661c90bc2b4c19
phase_a	clic-validation-076	compact	2048	1365	2795520	2763033	2752237	10796	0	176	27	1	1	6644875	10052708	29041083	24750	8415000	2170875	37205416	142167	6453086	d50d78d82fc01862
phase_a	clic-validation-076	low-latency	2048	1365	2795520	2763033	2752237	10796	0	48	16	1	1	6935375	10115083	28650667	9750	8422459	1846000	35788875	128125	6423696	3289d9488447ed8a
phase_a	clic-validation-077	compact	2048	1365	2795520	2344425	2257998	86427	0	176	25	1	1	6931500	12686917	30088875	26750	8743792	2084292	31902000	127583	5599902	4948a51b99e4ca0a
phase_a	clic-validation-077	low-latency	2048	1365	2795520	2344425	2257998	86427	0	48	16	1	1	6946792	12575958	29457291	9000	8674125	1909708	30909792	117375	5607562	4de4d8e62d041f24
phase_a	clic-validation-078	compact	1936	1220	2361920	2308609	2292800	15809	0	160	32	1	1	5752375	8317875	23575084	24125	7443833	1934458	30427667	113208	5704512	2a255306a6fe5cec
phase_a	clic-validation-078	low-latency	1936	1220	2361920	2308609	2292800	15809	0	40	16	1	1	5933208	8420000	23673334	11709	7019042	1653833	30499459	116417	5829980	c437b08a4f9b00b6
phase_a	clic-validation-079	compact	1145	1725	1975125	1839602	1824663	14939	0	126	24	1	1	4869125	6427667	14819958	19209	6129291	1749500	24799250	152917	4473714	4e5ed975a9486b76
phase_a	clic-validation-079	low-latency	1145	1725	1975125	1839602	1824663	14939	0	35	14	1	1	4834166	6432708	14711375	10708	5664208	1502500	24367833	94625	4555170	519953d348b80b9f
phase_a	clic-validation-080	compact	2048	1365	2795520	2786287	2782192	4095	0	176	21	1	1	6936375	10229542	35481000	25167	8527000	1998500	38158458	128875	6574580	c83bdb93ed87567b
phase_a	clic-validation-080	low-latency	2048	1365	2795520	2786287	2782192	4095	0	48	12	1	1	6992209	9956375	35937000	8000	8224417	1762458	37243625	157375	6602440	9b06469307d8ff2d
phase_a	clic-validation-081	compact	2048	1365	2795520	2515907	2480316	35591	0	176	19	1	1	6745500	9800875	26608958	18291	8412709	1931250	33726667	110042	5779970	717ef9481eeae3d0
phase_a	clic-validation-081	low-latency	2048	1365	2795520	2515907	2480316	35591	0	48	15	1	1	7024500	9886792	26696875	8042	8142416	1703542	32766209	108208	5682374	ce218abaae12020d
phase_a	clic-validation-082	compact	960	640	614400	614373	614361	12	0	40	14	1	1	1549667	1852792	4244292	6208	1978000	618167	8360000	46666	1512228	02853bd040c61d92
phase_a	clic-validation-082	low-latency	960	640	614400	614373	614361	12	0	12	7	1	1	1547416	1904625	4275250	4000	1879875	543959	8322209	47083	1515288	0b4d53409a18d975
phase_a	clic-validation-083	compact	2048	1365	2795520	2794803	2794465	338	0	176	27	1	1	6964333	8920334	26608917	24917	8515208	2079208	37955000	128084	6906868	42f17e9711bffacd
phase_a	clic-validation-083	low-latency	2048	1365	2795520	2794803	2794465	338	0	48	16	1	1	6732000	8677000	26386916	7417	8116833	1815250	36580458	125792	6884388	7ed07fe066d325d7
phase_a	clic-validation-084	compact	2048	1365	2795520	2342241	2273285	68956	0	176	35	1	1	6849041	10284834	23753375	30042	8591792	2340583	31627583	128625	5985856	b4715256de77ae39
phase_a	clic-validation-084	low-latency	2048	1365	2795520	2342241	2273285	68956	0	48	16	1	1	6925625	11156042	26310958	11667	8722375	1943166	30666542	124000	6003064	0a6e01e57f00aae6
phase_a	clic-validation-085	compact	1158	772	893976	867129	864457	2672	0	70	21	1	1	2172834	3032916	9148708	12208	2828958	903375	11768042	36875	1935310	3bb7c8c455c4d0e0
phase_a	clic-validation-085	low-latency	1158	772	893976	867129	864457	2672	0	20	11	1	1	2392000	3168542	9061583	5833	2729666	771375	11593417	43500	1954892	042a6310fb0cd0bb
phase_a	clic-validation-086	compact	2048	1366	2797568	2783224	2778170	5054	0	176	37	1	1	6960958	9473292	27557542	30667	8751458	2415333	36698208	143834	6780836	1e743676e5ace115
phase_a	clic-validation-086	low-latency	2048	1366	2797568	2783224	2778170	5054	0	48	16	1	1	6713333	9294542	27896833	9167	8095541	1937292	35786292	153000	6923612	e6ac948487479676
phase_a	clic-validation-087	compact	960	604	579840	542546	531885	10661	0	40	14	1	1	1368416	2352042	5631166	6417	1752959	584916	7384417	32708	1235750	42e2672672562a7e
phase_a	clic-validation-087	low-latency	960	604	579840	542546	531885	10661	0	12	5	1	1	1375209	2409959	5535334	4375	1713833	408542	6957125	32167	1252050	3d11aaacbd06d067
phase_a	clic-validation-088	compact	1440	900	1296000	1265012	1259058	5954	0	96	26	1	1	3175083	4487416	9189750	16375	4016792	1155625	16707250	75625	3237528	24045ef691bd1794
phase_a	clic-validation-088	low-latency	1440	900	1296000	1265012	1259058	5954	0	24	13	1	1	3206333	4472708	9531791	7542	3716500	1074375	16518667	88042	3293512	6f821c62cd11c834
phase_a	clic-validation-089	compact	1922	1281	2462082	2450881	2446627	4254	0	176	29	1	1	6154084	8123334	19729833	25167	7414125	2137041	32601875	124916	6517422	28de7a31d88dd994
phase_a	clic-validation-089	low-latency	1922	1281	2462082	2450881	2446627	4254	0	48	16	1	1	5884959	8085584	19858666	7750	7227166	1913209	31284458	141625	6529714	b2c2023de64d19af
phase_a	clic-validation-090	compact	2048	1365	2795520	2540892	2508824	32068	0	176	28	1	1	7021500	10207042	29624208	27542	8571791	2170792	33703416	127959	6442454	7b0cb344ee6cef72
phase_a	clic-validation-090	low-latency	2048	1365	2795520	2540892	2508824	32068	0	48	16	1	1	6807750	10193084	29776375	9833	8240167	1989375	32858958	136000	6588194	cf044e2f8eb01e32
phase_a	clic-validation-091	compact	512	384	196608	191107	189230	1877	0	12	7	1	1	471041	784917	2162167	3084	604541	280625	2599541	8708	457864	8d5a6ee6f3150327
phase_a	clic-validation-091	low-latency	512	384	196608	191107	189230	1877	0	4	3	1	1	474667	782125	2198416	5542	583708	219750	2500208	27792	486686	b23e7aa91be6cff4
phase_a	clic-validation-092	compact	2048	1365	2795520	2716130	2695646	20484	0	176	23	1	1	6809167	10091916	29790500	21625	8521333	1956916	37328708	134000	6816046	abaa8add5a233066
phase_a	clic-validation-092	low-latency	2048	1365	2795520	2716130	2695646	20484	0	48	15	1	1	6887291	9932667	29810708	8542	8346791	1882917	36089458	144667	6821520	8d13b469ff047be5
phase_a	clic-validation-093	compact	1542	1028	1585176	1559747	1552369	7378	0	117	20	1	1	4000417	5946041	20485750	21666	4826542	1260334	20768541	80083	3572272	70572a5ca5fcb0fa
phase_a	clic-validation-093	low-latency	1542	1028	1585176	1559747	1552369	7378	0	35	13	1	1	4026167	5657250	20694166	5667	5071000	1073542	20129791	76792	3597412	ae92c4a29a21d468
phase_a	clic-validation-094	compact	2048	1367	2799616	2436619	2358281	78338	0	176	35	1	1	6796541	11560209	22888542	32250	8760541	2257167	33292291	124375	5988924	16528b0ca0d3b08a
phase_a	clic-validation-094	low-latency	2048	1367	2799616	2436619	2358281	78338	0	48	16	1	1	6698416	11371958	22760917	10167	8769708	1958458	31759250	116709	6119372	de8a7115a3089a84
phase_a	clic-validation-095	compact	1264	790	998560	991343	989433	1910	0	70	27	1	1	2483583	3385750	9037084	13000	2939750	1107000	13345291	55792	2710854	035359020e6fe88d
phase_a	clic-validation-095	low-latency	1264	790	998560	991343	989433	1910	0	20	13	1	1	2394583	3429917	8799125	5333	2854625	908084	12858667	56875	2736452	c28db55d1630dcc2
phase_a	clic-validation-096	compact	720	439	316080	315707	315688	19	0	24	11	1	1	765625	910250	2093209	6167	919625	425833	4361292	14084	794174	7f8f03a046c6abcd
phase_a	clic-validation-096	low-latency	720	439	316080	315707	315688	19	0	6	5	1	1	749583	903958	2078333	4125	952750	310334	4192750	11792	797744	e278ba2e39a76a5d
phase_a	clic-validation-097	compact	2048	1033	2115584	2066784	2053462	13322	0	144	17	1	1	5392792	7983125	25009209	14000	6723417	1446042	27707916	150042	4853630	ec4179a61bedf764
phase_a	clic-validation-097	low-latency	2048	1033	2115584	2066784	2053462	13322	0	40	14	1	1	5212875	7697041	25158291	6833	6088959	1509500	26462958	96125	4881750	8a95578a10aa252c
phase_a	clic-validation-098	compact	2048	1366	2797568	2691656	2685359	6297	0	176	50	1	1	6826833	8515667	19720417	38958	8265542	2872791	36125958	173333	7500734	b429e1e43849874a
phase_a	clic-validation-098	low-latency	2048	1366	2797568	2691656	2685359	6297	0	48	16	1	1	6928875	8516042	19632000	9208	7783083	1908417	35185417	146083	7582970	154a05b8e087018e
phase_a	clic-validation-099	compact	1848	1224	2261952	1566751	1481601	85150	0	150	28	1	1	5649041	7921958	15666792	21750	6631916	1778542	22444000	80584	3909204	376246ff0a35b910
phase_a	clic-validation-099	low-latency	1848	1224	2261952	1566751	1481601	85150	0	40	12	1	1	5426959	7980750	15996750	6750	6231000	1674000	21519792	79167	3924250	4c18be5a9f1ddb41
phase_a	clic-validation-100	compact	1988	1325	2634100	2614863	2606746	8117	0	176	30	1	1	6596833	10164875	16528208	25750	8084417	2055167	33976875	131458	5764820	29f4e1bb58ccdde5
phase_a	clic-validation-100	low-latency	1988	1325	2634100	2614863	2606746	8117	0	48	16	1	1	6384166	9824750	15917375	8875	7659500	1758667	32561541	115917	6078404	6a1f1481453388be
phase_a	clic-validation-101	compact	2048	1365	2795520	2671657	2637500	34157	0	176	26	1	1	6729417	10665708	27332500	24000	8360833	1989667	34485167	124084	6502912	6281b57bf711d259
phase_a	clic-validation-101	low-latency	2048	1365	2795520	2671657	2637500	34157	0	48	15	1	1	7199917	10412083	27740167	8416	8472250	1952375	35841042	180459	6552670	3e99e1504d356f64
test encoder::product_benchmark_tests::product_validation_reproducer ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 42 filtered out; finished in 40.29s

