
running 1 test
p17	id	rgba_bytes	shared_prepare_ns	single_bytes	compact_control_bytes	low_control_bytes	r128_blocks	r128_counter_init_ns	r128_counter_update_ns	r128_counter_updates	r128_counter_storage_bytes	r128_e_proposal_ns	r128_b_proposal_ns	r128_e_cost_ns	r128_b_cost_ns	r128_reassignment_ns	r128_rebuild_ns	r128_refined_cost_ns	r128_candidate_selection_ns	r128_e_merge_updates	r128_b_merge_updates	r128_refined_merge_updates	r128_e_groups	r128_b_groups	r128_refined_groups	r128_retained_plan_bytes	r128_winner_plan_bytes	r128_initial	r128_winner	r128_ordered_bytes	r128_e_bits	r128_e_payload_bytes	r128_e_riff_bytes	r128_b_bits	r128_b_payload_bytes	r128_b_riff_bytes	r128_refined_bits	r128_refined_payload_bytes	r128_refined_riff_bytes	r128_winner_bits	r128_winner_payload_bytes	r128_winner_riff_bytes	r128_winner_hash	r256_blocks	r256_counter_init_ns	r256_counter_update_ns	r256_counter_updates	r256_counter_storage_bytes	r256_e_proposal_ns	r256_b_proposal_ns	r256_e_cost_ns	r256_b_cost_ns	r256_reassignment_ns	r256_rebuild_ns	r256_refined_cost_ns	r256_candidate_selection_ns	r256_e_merge_updates	r256_b_merge_updates	r256_refined_merge_updates	r256_e_groups	r256_b_groups	r256_refined_groups	r256_retained_plan_bytes	r256_winner_plan_bytes	r256_initial	r256_winner	r256_ordered_bytes	r256_e_bits	r256_e_payload_bytes	r256_e_riff_bytes	r256_b_bits	r256_b_payload_bytes	r256_b_riff_bytes	r256_refined_bits	r256_refined_payload_bytes	r256_refined_riff_bytes	r256_winner_bits	r256_winner_payload_bytes	r256_winner_riff_bytes	r256_winner_hash	resolution_selection_ns	single_selection_ns	selected_resolution	compact_kind	compact_bytes	compact_hash	public_compact_exact	low_kind	low_bytes	low_hash	public_low_exact	selected_128_matches_compact	maximum_accounted_live_bytes
p17	clic-validation-010	6441528	9402167	4753502	3997470	4032212	108	2667	3787583	6426030	226584	305833	95208	308791	304042	721083	66625	283958	42	32537	32537	32537	13	14	13	177284	57620	E	R	3997470	33129676	4141210	4141230	34033198	4254150	4254170	31635630	3954454	3954474	31635630	3954454	3954474	b2a924ad70cc87a8	30	1417	3779541	6426030	125880	92750	36834	241375	251375	246000	21958	226791	41	11177	11177	11177	9	7	9	110690	39846	E	R	4032212	33644371	4205547	4205568	34404872	4300609	4300630	32732084	4091511	4091532	32732084	4091511	4091532	03b4d8b41eab58f0	167	83	128	128	3954474	b2a924ad70cc87a8	1	128	3954474	b2a924ad70cc87a8	1	1	403868
p17	clic-validation-011	3011904	4262083	2089316	1961344	2023660	48	1541	1909458	3010010	100704	154417	47375	428333	287833	475708	51208	392959	0	19369	19369	19369	16	11	16	190376	70832	E	R	1961344	15955764	1994471	1994492	16051172	2006397	2006418	15879387	1984924	1984944	15879387	1984924	1984944	d044ff339962a25d	12	625	1865125	3010010	50352	43292	17209	189417	131167	145833	11083	176042	42	6054	6054	6054	7	5	7	84092	30980	E	E	2023660	16206366	2025796	2025816	16266428	2033304	2033324	16206366	2025796	2025816	16206366	2025796	2025816	ad71b82762fd8c0d	0	83	128	128	1984944	d044ff339962a25d	1	128	1984944	d044ff339962a25d	1	1	291080
p17	clic-validation-012	7990272	12908708	5484646	4891824	5008486	130	3208	4986958	7972174	272740	365375	125916	673958	622333	1392542	106625	710708	41	31604	31604	31604	32	30	32	416246	141698	E	R	4891824	38892074	4861510	4861530	39187780	4898473	4898494	38382166	4797771	4797792	38382166	4797771	4797792	6c14fdf78db04253	35	1708	4914083	7972174	146860	109958	47958	437459	366667	341167	25334	347625	0	11212	11212	11212	16	16	16	212457	70819	E	E	5008486	39558834	4944855	4944876	39910430	4988804	4988824	39558834	4944855	4944876	39558834	4944855	4944876	111d133a0b35cfc1	83	83	128	128	4797792	6c14fdf78db04253	1	128	4797792	6c14fdf78db04253	1	1	688986
p17	clic-validation-013	7990272	12099791	5657146	5058144	5153972	130	4583	4865708	7937916	272740	398208	130500	636833	514250	918750	89500	493292	0	40556	40556	40556	27	24	24	332190	106306	B	R	5058144	41033937	5129243	5129264	40531908	5066489	5066510	40097783	5012223	5012244	40097783	5012223	5012244	5608c3101d30797c	35	1834	4960917	7937916	146860	102791	50250	360834	374792	362458	28292	352666	42	13869	13869	13869	16	16	16	212457	70819	B	B	5153972	40758773	5094847	5094868	40609576	5076197	5076218	40609576	5076197	5076218	40609576	5076197	5076218	3b2891148953315a	125	125	128	128	5012244	5608c3101d30797c	1	128	5012244	5608c3101d30797c	1	1	604930
p17	clic-validation-014	7990272	12225791	5843580	5293592	5386808	130	3917	4827125	7923764	272740	361625	128167	698375	722000	1265750	86917	653208	0	47204	47204	47204	29	25	25	349886	110730	B	R	5293592	43603004	5450376	5450396	43350894	5418862	5418882	42381689	5297712	5297732	42381689	5297712	5297732	39a8f3bb2b78ce29	35	2500	5159666	7923764	146860	109083	45083	362167	329250	418792	27500	369750	0	16168	16168	16168	15	13	15	190337	66395	E	R	5386808	43310493	5413812	5413832	44011633	5501455	5501476	42601551	5325194	5325214	42601551	5325194	5325214	b9d3c7f28f88d8da	41	167	128	128	5297732	39a8f3bb2b78ce29	1	128	5297732	39a8f3bb2b78ce29	1	1	622626
p17	clic-validation-015	7990272	11774667	5756418	5656200	5684412	130	3292	4804208	7964012	272740	404625	122125	510542	415625	908875	90667	457666	42	66117	66117	66117	18	15	18	226014	79762	E	R	5656200	45630639	5703830	5703850	45650752	5706344	5706364	45167516	5645940	5645960	45167516	5645940	5645960	c9534777b8b6cacd	35	1834	4830709	7964012	146860	111792	45042	271542	151417	319583	41375	295959	42	21133	21133	21133	9	5	9	101857	39851	E	R	5684412	45688635	5711080	5711100	45898674	5737335	5737356	45610842	5701356	5701376	45610842	5701356	5701376	2239b30615c97695	125	84	128	128	5645960	c9534777b8b6cacd	1	128	5645960	c9534777b8b6cacd	1	1	498754
p17	clic-validation-016	7990272	13011583	5719120	4555750	4701704	130	3625	5021416	7907478	272740	380416	116292	510459	401000	1012958	83833	455708	0	29849	29849	29849	22	19	22	279102	97458	E	R	4555750	36800498	4600063	4600084	36811149	4601394	4601414	36449037	4556130	4556150	36449037	4556130	4556150	0e584c021833b809	35	1916	4874000	7907478	146860	111625	51750	357042	261167	371375	31042	316250	42	10608	10608	10608	14	11	14	172641	61971	E	R	4701704	38024709	4753089	4753110	38074434	4759305	4759326	37943102	4742888	4742908	37943102	4742888	4742908	c30e4d1f28b21b41	0	166	128	128	4556150	0e584c021833b809	1	128	4556150	0e584c021833b809	1	1	551842
p17	clic-validation-017	12192768	22384167	7456520	6691500	6719656	192	5125	7072791	11545236	402816	508167	157667	398583	373125	1573250	120167	432791	0	33205	33205	33205	20	17	20	252744	88672	E	R	6691500	54721421	6840178	6840198	54990977	6873873	6873894	52186028	6523254	6523274	52186028	6523254	6523274	c08795c03e9be29f	48	4750	7320583	11545236	201408	136167	66166	320000	218708	355667	34375	348084	42	11471	11471	11471	14	11	14	172680	61984	E	R	6719656	54764629	6845579	6845600	54941663	6867708	6867728	53297048	6662131	6662152	53297048	6662131	6662152	a41911716db39e87	0	0	128	128	6523274	c08795c03e9be29f	1	128	6523274	c08795c03e9be29f	1	1	655560
p17	clic-validation-018	7990272	12345042	5461664	5115144	5118420	130	3625	4846542	7896266	272740	344917	118750	393166	280417	912250	77375	413041	0	33319	33319	33319	18	13	18	217166	79762	E	R	5115144	40002491	5000312	5000332	40671103	5083888	5083908	38609454	4826182	4826202	38609454	4826182	4826202	6279873339095fd0	35	1583	4858666	7896266	146860	106000	46083	261875	203417	272875	28916	282458	0	11830	11830	11830	11	9	11	137249	48699	E	R	5118420	40277227	5034654	5034674	40725989	5090749	5090770	39767621	4970953	4970974	39767621	4970953	4970974	59baef36fceb1221	41	41	128	128	4826202	6279873339095fd0	1	128	4826202	6279873339095fd0	1	1	489906
p17	clic-validation-019	7990272	13315542	5781646	5039696	5108948	130	3667	4739458	7700860	272740	354291	120250	604833	639625	1632541	83417	627709	0	39232	39232	39232	26	28	28	363158	124002	B	R	5039696	40696242	5087031	5087052	40638634	5079830	5079850	38268363	4783546	4783566	38268363	4783546	4783566	75328ad5326499e3	35	1458	4733791	7700860	146860	104833	43958	379166	327875	350416	27667	314084	42	13855	13855	13855	16	13	13	185913	57547	B	R	5108948	40861610	5107702	5107722	40228798	5028600	5028620	39731100	4966388	4966408	39731100	4966388	4966408	2da3eb61220fc518	41	84	128	128	4783566	75328ad5326499e3	1	128	4783566	75328ad5326499e3	1	1	635898
p17	clic-validation-020	9445376	13354875	6827556	6358216	6430820	160	4417	5446291	9374838	335680	459625	175583	718834	586375	1835292	110750	708500	42	56244	56244	56244	30	24	30	372096	132880	E	R	6358216	50657253	6332157	6332178	50991371	6373922	6373942	49691903	6211488	6211508	49691903	6211488	6211508	cd8ca3773f6ac558	40	2500	5613125	9374838	167840	116458	50375	407041	262709	416667	31583	330833	41	18907	18907	18907	13	10	13	159384	57552	E	R	6430820	51146394	6393300	6393320	52042228	6505279	6505300	50875608	6359451	6359472	50875608	6359451	6359472	8ad30a20954954ed	125	41	128	128	6211508	cd8ca3773f6ac558	1	128	6211508	cd8ca3773f6ac558	1	1	707776
p17	clic-validation-021	7834368	12655208	5339060	4565070	4693378	130	6750	4670791	7668226	272740	347000	111166	425542	401625	886625	81458	453209	42	25139	25139	25139	22	21	21	283526	93034	B	R	4565070	37942128	4742766	4742786	37762782	4720348	4720368	36803291	4600412	4600432	36803291	4600412	4600432	b61838b80a2f6b2c	35	2625	4934167	7668226	146860	103583	45208	285291	256458	274000	25375	273791	42	9863	9863	9863	13	13	13	172641	57547	B	R	4693378	38548924	4818616	4818636	38377021	4797128	4797148	38038667	4754834	4754854	38038667	4754834	4754854	5c5ba6cd8b05f7ca	41	84	128	128	4600432	b61838b80a2f6b2c	1	128	4600432	b61838b80a2f6b2c	1	1	556266
p17	clic-validation-022	9445376	14675417	6415554	5628196	5628318	160	4500	5721000	9326994	335680	416500	148542	469750	375833	1384583	96250	425958	0	26010	26010	26010	23	18	23	283616	101912	E	R	5628196	44705480	5588185	5588206	45306647	5663331	5663352	41738692	5217337	5217358	41738692	5217337	5217358	170bf3f75b57a5ac	40	1917	5819667	9326994	167840	122292	51125	349750	236625	358250	32041	283417	0	9837	9837	9837	13	10	13	159384	57552	E	R	5628318	44784153	5598020	5598040	46271421	5783928	5783948	44277476	5534685	5534706	44277476	5534685	5534706	46334efff9e3cd0e	41	84	128	128	5217358	170bf3f75b57a5ac	1	128	5217358	170bf3f75b57a5ac	1	1	619296
p17	clic-validation-023	9445376	14221292	6765154	5856188	5979252	160	4334	5464542	9405916	335680	500166	182292	781000	648708	1897375	111708	705000	41	38316	38316	38316	36	32	32	442880	141728	B	R	5856188	46316184	5789523	5789544	46122207	5765276	5765296	44705278	5588160	5588180	44705278	5588160	5588180	c3aa95790988458e	40	1916	5665000	9405916	167840	131625	59375	400667	417834	412250	32750	353000	0	12799	12799	12799	16	16	16	212472	70824	B	R	5979252	46672225	5834029	5834050	46149297	5768663	5768684	45603697	5700463	5700484	45603697	5700463	5700484	40d3c4d1ba9b054f	83	41	128	128	5588180	c3aa95790988458e	1	128	5588180	c3aa95790988458e	1	1	778560
p17	clic-validation-024	12192768	19842209	7803852	7349344	7363364	192	4333	7141167	11783030	402816	504000	171583	519500	560375	1514042	130250	574833	42	44696	44696	44696	25	27	25	341224	110792	E	R	7349344	58898294	7362287	7362308	58990604	7373826	7373846	57216513	7152065	7152086	57216513	7152065	7152086	b7312f92f4752452	48	1916	7081750	11783030	201408	184458	69750	364375	294708	450542	38917	380250	0	14978	14978	14978	16	14	16	203648	70832	E	R	7363364	59477639	7434705	7434726	60039161	7504896	7504916	57967250	7245907	7245928	57967250	7245907	7245928	5d509b5377a7fe35	0	0	128	128	7152086	b7312f92f4752452	1	128	7152086	b7312f92f4752452	1	1	744040
p17	clic-validation-025	12192768	19517208	8753828	7869586	8063140	192	4708	7234916	11706164	402816	552417	199417	593875	608667	1564958	172750	559375	41	65879	65879	65879	24	27	24	332376	106368	E	R	7869586	63776534	7972067	7972088	64014131	8001767	8001788	61065704	7633213	7633234	61065704	7633213	7633234	2f0845b0a19612fd	48	2125	7110292	11706164	201408	141667	60625	399833	310708	424500	36500	377750	42	21895	21895	21895	16	12	16	194800	70832	E	R	8063140	63654615	7956827	7956848	65273456	8159182	8159202	62755366	7844421	7844442	62755366	7844421	7844442	80699cf21a4d163a	42	167	128	128	7633234	2f0845b0a19612fd	1	128	7633234	2f0845b0a19612fd	1	1	735192
p17	clic-validation-026	12451840	22021125	8945248	8259084	8349358	192	9667	10986750	12439888	402816	566375	182125	609666	513042	1580666	127917	520792	0	61095	61095	61095	26	24	24	327952	106368	B	R	8259084	65922479	8240310	8240330	65507945	8188494	8188514	62978333	7872292	7872312	62978333	7872292	7872312	258477aabb21cb59	48	3083	7529417	12439888	201408	139584	58916	347042	352791	447958	37958	357958	0	18992	18992	18992	15	14	15	194800	66408	E	R	8349358	66141533	8267692	8267712	66812762	8351596	8351616	65025300	8128163	8128184	65025300	8128163	8128184	d774e58a6893d1af	41	84	128	128	7872312	258477aabb21cb59	1	128	7872312	258477aabb21cb59	1	1	730768
p17	clic-validation-027	11968000	18721417	7990348	6933844	7076126	192	8792	7232833	11910936	402816	524916	162417	293167	317792	749334	99875	270709	0	20780	20780	20780	15	15	15	199656	66552	B	R	6933844	56231199	7028900	7028920	56209934	7026242	7026262	54017597	6752200	6752220	54017597	6752200	6752220	812a3b3aacd31eed	48	2250	7406166	11910936	201408	130000	52375	164125	150042	207583	27917	154292	0	7441	7441	7441	7	8	8	101896	35440	B	R	7076126	57085490	7135687	7135708	56879415	7109927	7109948	54298294	6787287	6787308	54298294	6787287	6787308	cbb20220945dca21	0	125	128	128	6752220	812a3b3aacd31eed	1	128	6752220	812a3b3aacd31eed	1	1	602472
p17	clic-validation-028	11968000	19179292	7485068	7265392	7360348	192	4750	7422792	11891300	402816	506209	157375	276500	297292	1189125	103708	328625	42	22954	22954	22954	14	16	16	204080	70976	B	R	7265392	58802206	7350276	7350296	57947452	7243432	7243452	54433567	6804196	6804216	54433567	6804196	6804216	5e2c6386fa6749b3	48	2000	7368000	11891300	201408	127542	63875	137125	129000	247500	34875	140209	0	9015	9015	9015	6	6	6	79776	26592	B	R	7360348	58704215	7338027	7338048	58522460	7315308	7315328	55162499	6895313	6895334	55162499	6895313	6895334	86e02f160d517770	42	125	128	128	6804216	5e2c6386fa6749b3	1	128	6804216	5e2c6386fa6749b3	1	1	606896
p17	clic-validation-029	12192768	21944875	6878640	6107890	6030840	192	5625	7409541	9914778	402816	521625	169208	420833	385083	1193916	117250	379917	41	32188	32188	32188	20	18	18	248320	79824	B	R	6107890	48410238	6051280	6051300	48311474	6038935	6038956	46739902	5842488	5842508	46739902	5842488	5842508	89acbf1956212d89	48	2000	7064917	9914778	201408	135291	59625	260583	281667	323000	29916	255625	42	11866	11866	11866	10	12	12	150560	53136	B	R	6030840	50084803	6260601	6260622	49738981	6217373	6217394	48950742	6118843	6118864	48950742	6118843	6118864	60b590b1ac8feb50	41	84	128	128	5842508	89acbf1956212d89	1	128	5842508	89acbf1956212d89	1	1	651136
p17	clic-validation-030	11968000	18445334	8832266	8257108	8705786	192	4541	7303917	11771662	402816	570958	195208	736250	554958	1687250	147166	611125	0	82352	82352	82352	29	22	22	323528	97520	B	R	8257108	66745596	8343200	8343220	66553443	8319181	8319202	65221607	8152701	8152722	65221607	8152701	8152722	ef9047f83b596ff3	48	2042	7059959	11771662	201408	137667	61541	435875	359166	559833	37541	434750	42	28376	28376	28376	16	13	16	199224	70832	E	R	8705786	68568740	8571093	8571114	68828142	8603518	8603538	67890949	8486369	8486390	67890949	8486369	8486390	f6ee32706b66ae62	42	125	128	128	8152722	ef9047f83b596ff3	1	128	8152722	ef9047f83b596ff3	1	1	726344
p17	clic-validation-031	12192768	19286458	8103604	7174330	7277258	192	5125	7266459	11761630	402816	514000	165417	533791	424667	1608959	129750	551917	41	39248	39248	39248	27	22	27	336800	119640	E	R	7174330	58020838	7252605	7252626	58090900	7261363	7261384	56366841	7045856	7045876	56366841	7045856	7045876	745f7d0005ab7419	48	1916	7439708	11761630	201408	140584	61375	356875	276750	387208	34000	327583	0	14016	14016	14016	16	13	16	199224	70832	E	R	7277258	58023365	7252921	7252942	58048171	7256022	7256042	57560771	7195097	7195118	57560771	7195097	7195118	d1371667d0f04ecc	42	125	128	128	7045876	745f7d0005ab7419	1	128	7045876	745f7d0005ab7419	1	1	739616
p17	clic-validation-032	12192768	19385500	7422746	6915788	6987574	192	6250	7411959	11931674	402816	568834	187417	318208	214500	865000	119958	264416	0	36621	36621	36621	13	10	13	159840	57704	E	R	6915788	55139356	6892420	6892440	55233216	6904152	6904172	54332651	6791582	6791602	54332651	6791582	6791602	7609aa3cb54ab226	48	2458	7251000	11931674	201408	132834	67042	166417	189041	218416	29333	143500	0	12033	12033	12033	7	9	7	101896	31016	E	R	6987574	55274592	6909324	6909344	56595179	7074398	7074418	54965140	6870643	6870664	54965140	6870643	6870664	18f339e8226bdfbb	42	0	128	128	6791602	7609aa3cb54ab226	1	128	6791602	7609aa3cb54ab226	1	1	562656
p17	clic-validation-033	12192768	19270459	8987044	8462362	8431672	192	4500	7729792	11977000	402816	536209	185333	623333	545667	2645042	142584	678875	0	64637	64637	64637	24	20	23	296984	101944	E	R	8462362	65309593	8163700	8163720	68940274	8617535	8617556	63376553	7922070	7922090	63376553	7922070	7922090	00fcfd2904e429a6	48	2500	7403208	11977000	201408	137375	61792	370375	391792	571083	49750	356666	0	22092	22092	22092	14	14	14	185952	61984	E	R	8431672	68018133	8502267	8502288	68150114	8518765	8518786	66001424	8250178	8250198	66001424	8250178	8250198	507b99ba332e273c	42	41	128	128	7922090	00fcfd2904e429a6	1	128	7922090	00fcfd2904e429a6	1	1	699800
p17	clic-validation-034	12289728	18425375	9017490	8425850	8475800	192	4792	7748416	12237084	402816	538666	179417	418166	412542	1602709	131709	434542	0	44838	44838	44838	16	17	17	221776	75400	B	R	8425850	67589969	8448747	8448768	66709311	8338664	8338684	61700741	7712593	7712614	61700741	7712593	7712614	503770163966213c	48	2208	7646666	12237084	201408	143667	59875	322875	236041	467417	44333	295458	0	16179	16179	16179	12	9	12	146136	53136	E	R	8475800	66668384	8333548	8333568	67744739	8468093	8468114	64442847	8055356	8055376	64442847	8055356	8055376	fb4fd5d6f1141951	41	125	128	128	7712614	503770163966213c	1	128	7712614	503770163966213c	1	1	624592
p17	clic-validation-035	12289728	20358500	8945746	8124282	8055284	192	5333	7724000	11918254	402816	560833	177458	330584	379584	1451084	142250	426583	42	42250	42250	42250	13	16	16	199656	70976	B	R	8124282	64641274	8080160	8080180	64075741	8009468	8009488	58884011	7360502	7360522	58884011	7360502	7360522	7e0bc6f9a19edfd7	48	1750	7606166	11918254	201408	144417	63625	274083	269083	382250	46167	247208	41	17354	17354	17354	7	9	9	110744	39864	B	R	8055284	66040174	8255022	8255042	65323877	8165485	8165506	63101115	7887640	7887660	63101115	7887640	7887660	9e51b620bc1a6561	41	83	128	128	7360522	7e0bc6f9a19edfd7	1	128	7360522	7e0bc6f9a19edfd7	1	1	602472
