name	commit	test_binary_bytes	test_binary_sha256	release_rlib_bytes	release_rlib_sha256
base	ec7fbaf69f423bfd7251a121d2e629cfa776cb79	2117168	9376564a66fae3edb3938df1c057de30865b9fb944759a19b0a436ebce53b182	2164896	19306fbe1f087e9ff895c765afda7868a97a21c63d5d3c306b1724ee556c7a17
candidate	bdb709ea	2217120	42ec743c6791319a8186882380b9865eccc8acb9ff00993f999842d42cb75629	2341872	2c4490c2c642f8fbed486b2c6523338d644ffed80c8cce69871d862b6e710af9
