
running 1 test
exact	id	profile	bytes	stream_hash	predicted_bits	written_bits	predicted_payload_bytes	predicted_riff_bytes	single_actual_riff_bytes	estimate_exact	losing_single_main_written	estimator_fallback	candidate_won	control_exact
exact	clic-validation-025	compact	7869586	8e2bafa718f19a77	70030464	70030464	8753808	8753828	8753828	1	0	0	1	1
exact	clic-validation-025	low-latency	8063140	7e0fa761ed6d5c04	70030464	70030464	8753808	8753828	8753828	1	0	0	1	1
exact	clic-validation-026	compact	8259084	f45a79434b11b0a8	71561818	71561818	8945228	8945248	8945248	1	0	0	1	1
exact	clic-validation-026	low-latency	8349358	10688eb18b045ed4	71561818	71561818	8945228	8945248	8945248	1	0	0	1	1
exact	clic-validation-027	compact	6933844	bb6c90c7c8ce176a	63922611	63922611	7990327	7990348	7990348	1	0	0	1	1
exact	clic-validation-027	low-latency	7076126	08c61a1a756bc696	63922611	63922611	7990327	7990348	7990348	1	0	0	1	1
exact	clic-validation-028	compact	7265392	06e5e235e1a82103	59880370	59880370	7485047	7485068	7485068	1	0	0	1	1
exact	clic-validation-028	low-latency	7360348	3288c8c84e053dd9	59880370	59880370	7485047	7485068	7485068	1	0	0	1	1
exact	clic-validation-029	compact	6107890	f3e390306bdceba2	55028954	55028954	6878620	6878640	6878640	1	0	0	1	1
exact	clic-validation-029	low-latency	6030840	0038173aae5c4cbc	55028954	55028954	6878620	6878640	6878640	1	0	0	1	1
exact	clic-validation-030	compact	8257108	b05bd6d94c5eec76	70657960	70657960	8832245	8832266	8832266	1	0	0	1	1
exact	clic-validation-030	low-latency	8705786	cce495777e9bf98d	70657960	70657960	8832245	8832266	8832266	1	0	0	1	1
exact	clic-validation-031	compact	7174330	25794fd98a943f36	64828661	64828661	8103583	8103604	8103604	1	0	0	1	1
exact	clic-validation-031	low-latency	7277258	101739cfd5e60743	64828661	64828661	8103583	8103604	8103604	1	0	0	1	1
exact	clic-validation-032	compact	6915788	e12aaa37425a5e15	59381806	59381806	7422726	7422746	7422746	1	0	0	1	1
exact	clic-validation-032	low-latency	6987574	2126e8c389111622	59381806	59381806	7422726	7422746	7422746	1	0	0	1	1
exact	clic-validation-033	compact	8462362	b152258efbfb45be	71896178	71896178	8987023	8987044	8987044	1	0	0	1	1
exact	clic-validation-033	low-latency	8431672	5214c4c49c246a83	71896178	71896178	8987023	8987044	8987044	1	0	0	1	1
exact	clic-validation-034	compact	8425850	c60a77ee228fbe0f	72139749	72139749	9017469	9017490	9017490	1	0	0	1	1
exact	clic-validation-034	low-latency	8475800	8c9291363f667e1b	72139749	72139749	9017469	9017490	9017490	1	0	0	1	1
exact	clic-validation-035	compact	8124282	0935beeb6715c7da	71565799	71565799	8945725	8945746	8945746	1	0	0	1	1
exact	clic-validation-035	low-latency	8055284	412e6979ef098033	71565799	71565799	8945725	8945746	8945746	1	0	0	1	1
exact	clic-validation-036	compact	7281758	dbba36b7f776979d	67317016	67317016	8414627	8414648	8414648	1	0	0	1	1
exact	clic-validation-036	low-latency	7368046	85cf78c6599ce065	67317016	67317016	8414627	8414648	8414648	1	0	0	1	1
exact	clic-validation-037	compact	7772372	5d2756e807704ab1	67250722	67250722	8406341	8406362	8406362	1	0	0	1	1
exact	clic-validation-037	low-latency	7805588	0c2c1cf96dc34b0a	67250722	67250722	8406341	8406362	8406362	1	0	0	1	1
exact	clic-validation-038	compact	8140256	16c4160b4af1b939	70692801	70692801	8836601	8836622	8836622	1	0	0	1	1
exact	clic-validation-038	low-latency	8129706	d882db21b5bd96f3	70692801	70692801	8836601	8836622	8836622	1	0	0	1	1
exact	clic-validation-039	compact	7163302	71b90b977929d8ff	67229354	67229354	8403670	8403690	8403690	1	0	0	1	1
exact	clic-validation-039	low-latency	7174990	db4ccf38a773a2bc	67229354	67229354	8403670	8403690	8403690	1	0	0	1	1
exact	clic-validation-040	compact	6948508	4ebc4f813c05112a	63566786	63566786	7945849	7945870	7945870	1	0	0	1	1
exact	clic-validation-040	low-latency	7112000	c32e1fa0c6d2c711	63566786	63566786	7945849	7945870	7945870	1	0	0	1	1
exact	clic-validation-041	compact	8085038	5c31e4ccd8c92e01	72748554	72748554	9093570	9093590	9093590	1	0	0	1	1
exact	clic-validation-041	low-latency	8245686	e55ff5943d94f4a2	72748554	72748554	9093570	9093590	9093590	1	0	0	1	1
