
running 1 test
p15	id	profile	rgba_bytes	blocks	counter_init_ns	counter_update_ns	counter_updates	counter_storage_bytes	e_proposal_ns	b_proposal_ns	e_cost_ns	b_cost_ns	reassignment_ns	rebuild_ns	refined_cost_ns	final_selection_ns	e_merge_updates	b_merge_updates	refined_merge_updates	e_groups	b_groups	refined_groups	retained_plan_bytes	initial	final	ordered_bytes	single_bytes	control_bytes	e_bits	e_payload_bytes	e_riff_bytes	b_bits	b_payload_bytes	b_riff_bytes	refined_bits	refined_payload_bytes	refined_riff_bytes	final_bytes	final_hash	public_exact
p15	clic-validation-025	low-latency	12192768	48	2500	7492041	11706164	201408	148750	62583	415083	284333	431084	35250	368750	0	21895	21895	21895	16	12	16	194800	E	R	8063140	8753828	8063140	63654615	7956827	7956848	65273456	8159182	8159202	62755366	7844421	7844442	7844442	80699cf21a4d163a	1
p15	clic-validation-026	compact	12451840	192	4333	8620833	12439888	402816	577416	179792	611625	525333	1626042	120625	543834	458	61095	61095	61095	26	24	24	327952	B	R	8259084	8945248	8259084	65922479	8240310	8240330	65507945	8188494	8188514	62978333	7872292	7872312	7872312	258477aabb21cb59	1
p15	clic-validation-026	low-latency	12451840	48	4875	7798792	12439888	201408	132541	80334	389875	326125	436125	29584	328000	0	18992	18992	18992	15	14	15	194800	E	R	8349358	8945248	8349358	66141533	8267692	8267712	66812762	8351596	8351616	65025300	8128163	8128184	8128184	d774e58a6893d1af	1
p15	clic-validation-027	compact	11968000	192	4458	7685250	11910936	402816	522042	180750	278083	257875	842708	106041	282833	42	20780	20780	20780	15	15	15	199656	B	R	6933844	7990348	6933844	56231199	7028900	7028920	56209934	7026242	7026262	54017597	6752200	6752220	6752220	812a3b3aacd31eed	1
p15	clic-validation-027	low-latency	11968000	48	3041	7400041	11910936	201408	125792	58791	176292	172083	199125	26959	145125	42	7441	7441	7441	7	8	8	101896	B	R	7076126	7990348	7076126	57085490	7135687	7135708	56879415	7109927	7109948	54298294	6787287	6787308	6787308	cbb20220945dca21	1
p15	clic-validation-028	compact	11968000	192	4584	7584792	11891300	402816	511959	154542	262333	270750	1095083	105083	295791	42	22954	22954	22954	14	16	16	204080	B	R	7265392	7485068	7265392	58802206	7350276	7350296	57947452	7243432	7243452	54433567	6804196	6804216	6804216	5e2c6386fa6749b3	1
p15	clic-validation-028	low-latency	11968000	48	6625	7466333	11891300	201408	135500	55666	138833	123000	222708	33959	117667	83	9015	9015	9015	6	6	6	79776	B	R	7360348	7485068	7360348	58704215	7338027	7338048	58522460	7315308	7315328	55162499	6895313	6895334	6895334	86e02f160d517770	1
p15	clic-validation-029	compact	12192768	192	4792	7101750	9914778	402816	519458	153375	378291	394042	1221459	103458	357708	0	32188	32188	32188	20	18	18	248320	B	R	6107890	6878640	6107890	48410238	6051280	6051300	48311474	6038935	6038956	46739902	5842488	5842508	5842508	89acbf1956212d89	1
p15	clic-validation-029	low-latency	12192768	48	3208	7371084	9914778	201408	138625	62041	239042	235416	346208	41750	258833	42	11866	11866	11866	10	12	12	150560	B	R	6030840	6878640	6030840	50084803	6260601	6260622	49738981	6217373	6217394	48950742	6118843	6118864	6118864	60b590b1ac8feb50	1
p15	clic-validation-030	compact	11968000	192	4917	7325666	11771662	402816	535375	177833	706334	557291	1787708	141166	595500	42	82352	82352	82352	29	22	22	323528	B	R	8257108	8832266	8257108	66745596	8343200	8343220	66553443	8319181	8319202	65221607	8152701	8152722	8152722	ef9047f83b596ff3	1
p15	clic-validation-030	low-latency	11968000	48	2917	7308292	11771662	201408	143667	67792	436750	378166	588458	37292	418417	42	28376	28376	28376	16	13	16	199224	E	R	8705786	8832266	8705786	68568740	8571093	8571114	68828142	8603518	8603538	67890949	8486369	8486390	8486390	f6ee32706b66ae62	1
p15	clic-validation-031	compact	12192768	192	4667	7449916	11761630	402816	534375	197541	544458	484833	1607333	116292	536208	0	39248	39248	39248	27	22	27	336800	E	R	7174330	8103604	7174330	58020838	7252605	7252626	58090900	7261363	7261384	56366841	7045856	7045876	7045876	745f7d0005ab7419	1
p15	clic-validation-031	low-latency	12192768	48	3125	7459583	11761630	201408	165583	64208	412750	252666	399333	32750	329500	0	14016	14016	14016	16	13	16	199224	E	R	7277258	8103604	7277258	58023365	7252921	7252942	58048171	7256022	7256042	57560771	7195097	7195118	7195118	d1371667d0f04ecc	1
p15	clic-validation-032	compact	12192768	192	5333	7625375	11931674	402816	502458	165042	261334	191500	916042	115542	250833	42	36621	36621	36621	13	10	13	159840	E	R	6915788	7422746	6915788	55139356	6892420	6892440	55233216	6904152	6904172	54332651	6791582	6791602	6791602	7609aa3cb54ab226	1
p15	clic-validation-032	low-latency	12192768	48	3167	7507167	11931674	201408	133708	56833	146334	176292	207250	31708	133375	0	12033	12033	12033	7	9	7	101896	E	R	6987574	7422746	6987574	55274592	6909324	6909344	56595179	7074398	7074418	54965140	6870643	6870664	6870664	18f339e8226bdfbb	1
p15	clic-validation-033	compact	12192768	192	4916	7499000	11977000	402816	522458	181459	699583	570041	2642417	157500	678458	0	64637	64637	64637	24	20	23	296984	E	R	8462362	8987044	8462362	65309593	8163700	8163720	68940274	8617535	8617556	63376553	7922070	7922090	7922090	00fcfd2904e429a6	1
p15	clic-validation-033	low-latency	12192768	48	1916	7488500	11977000	201408	141667	63833	344917	339625	532125	36875	336834	0	22092	22092	22092	14	14	14	185952	E	R	8431672	8987044	8431672	68018133	8502267	8502288	68150114	8518765	8518786	66001424	8250178	8250198	8250198	507b99ba332e273c	1
p15	clic-validation-034	compact	12289728	192	4666	7612458	12237084	402816	499792	181167	404125	375334	1653500	122416	388583	0	44838	44838	44838	16	17	17	221776	B	R	8425850	9017490	8425850	67589969	8448747	8448768	66709311	8338664	8338684	61700741	7712593	7712614	7712614	503770163966213c	1
p15	clic-validation-034	low-latency	12289728	48	2833	7515000	12237084	201408	142083	55792	287209	212750	435959	35333	274208	42	16179	16179	16179	12	9	12	146136	E	R	8475800	9017490	8475800	66668384	8333548	8333568	67744739	8468093	8468114	64442847	8055356	8055376	8055376	fb4fd5d6f1141951	1
p15	clic-validation-035	compact	12289728	192	4667	7646375	11918254	402816	500375	164458	293292	343459	1402833	124083	418042	42	42250	42250	42250	13	16	16	199656	B	R	8124282	8945746	8124282	64641274	8080160	8080180	64075741	8009468	8009488	58884011	7360502	7360522	7360522	7e0bc6f9a19edfd7	1
p15	clic-validation-035	low-latency	12289728	48	2750	7467917	11918254	201408	135708	60000	196750	216875	341167	36667	214083	0	17354	17354	17354	7	9	9	110744	B	R	8055284	8945746	8055284	66040174	8255022	8255042	65323877	8165485	8165506	63101115	7887640	7887660	7887660	9e51b620bc1a6561	1
p15	clic-validation-036	compact	12289728	192	3417	7602708	12227838	402816	487292	158625	420041	475500	1524375	107125	441875	125	38395	38395	38395	20	19	19	257168	B	R	7281758	8414648	7281758	60671597	7583950	7583970	57901072	7237634	7237654	55544756	6943095	6943116	6943116	7ffbe5e862489ce0	1
p15	clic-validation-036	low-latency	12289728	48	3042	7873416	12227838	201408	158875	68334	279042	261333	406666	31125	259208	0	13139	13139	13139	12	13	13	168256	B	R	7368046	8414648	7368046	60773645	7596706	7596726	58860689	7357587	7357608	58292960	7286620	7286640	7286640	45ca710246cbf237	1
p15	clic-validation-037	compact	12289728	192	3667	7975583	12106546	402816	663917	175416	496875	443083	1643667	126542	593083	0	40222	40222	40222	24	22	24	310256	E	R	7772372	8406362	7772372	60925886	7615736	7615756	61805659	7725708	7725728	57996135	7249517	7249538	7249538	f400b01a8fd4365d	1
p15	clic-validation-037	low-latency	12289728	48	1917	7478291	12106546	201408	142375	67417	280084	252875	388666	35167	260000	0	15163	15163	15163	11	12	12	154984	B	R	7805588	8406362	7805588	63697418	7962178	7962198	62648501	7831063	7831084	59429694	7428712	7428732	7428732	f335b3a6ba63eb3e	1
p15	clic-validation-038	compact	12192768	192	5042	7800625	11765416	402816	514708	165292	695917	608833	2684000	232417	718084	42	58762	58762	58762	31	26	31	389888	E	R	8140256	8836622	8140256	61985436	7748180	7748200	64218984	8027373	8027394	59441333	7430167	7430188	7430188	47e3e18f00d2ba8c	1
p15	clic-validation-038	low-latency	12192768	48	3291	7202542	11765416	201408	133291	58500	432083	313917	527916	31917	334417	41	20005	20005	20005	14	12	14	177104	E	R	8129706	8836622	8129706	65092042	8136506	8136526	66048094	8256012	8256032	62939460	7867433	7867454	7867454	d9ea8ebcf8414b7e	1
p15	clic-validation-039	compact	12192768	192	4791	7320250	11635938	402816	523625	158625	495792	502125	1551375	128083	472750	41	43433	43433	43433	24	23	24	314680	E	R	7163302	8403690	7163302	56678564	7084821	7084842	57851687	7231461	7231482	55311779	6913973	6913994	6913994	5c1ff47425c7a662	1
p15	clic-validation-039	low-latency	12192768	48	3667	7315959	11635938	201408	141625	57042	347625	361000	450625	33042	331875	0	14594	14594	14594	16	15	16	208072	E	R	7174990	8403690	7174990	56982337	7122793	7122814	57612823	7201603	7201624	56643143	7080393	7080414	7080414	15419aa59619819d	1
p15	clic-validation-040	compact	12192768	192	4875	7549583	11986102	402816	503875	149083	240958	274875	1246417	102708	304417	42	33600	33600	33600	12	13	13	168688	B	R	6948508	7945870	6948508	58834524	7354316	7354336	57024202	7128026	7128046	54698239	6837280	6837300	6837300	cc504e557c3ac5d7	1
p15	clic-validation-040	low-latency	12192768	48	3584	7485292	11986102	201408	141166	55792	260584	197167	336750	31000	190958	0	11220	11220	11220	9	9	9	119592	B	R	7112000	7945870	7112000	58543144	7317893	7317914	54839797	6854975	6854996	53919383	6739923	6739944	6739944	32d2e8fa966b1fb9	1
p15	clic-validation-041	compact	12192768	192	5500	7545333	12121878	402816	537875	177916	725500	385000	2209125	118583	627333	41	57048	57048	57048	28	18	28	327952	E	R	8085038	9093590	8085038	65157830	8144729	8144750	65856249	8232032	8232052	62152219	7769028	7769048	7769048	ef4f3acc43559647	1
p15	clic-validation-041	low-latency	12192768	48	3000	7744083	12121878	201408	133209	65833	387167	242084	497458	34417	370084	125	20115	20115	20115	15	10	15	177104	E	R	8245686	9093590	8245686	65942669	8242834	8242854	67019042	8377381	8377402	64974714	8121840	8121860	8121860	7a623af526bee5c8	1
p15	clic-validation-042	compact	12192768	192	4458	7725583	12137398	402816	598416	197166	1042667	784750	2087500	133625	1032917	0	77798	77798	77798	37	33	37	473944	E	R	8347186	9104760	8347186	67564504	8445563	8445584	68234402	8529301	8529322	66690118	8336265	8336286	8336286	a4765a735d6dc387	1
p15	clic-validation-042	low-latency	12192768	48	3041	7512500	12137398	201408	150708	60084	388334	415542	532416	34875	434250	42	26129	26129	26129	14	16	16	203648	B	R	8621620	9104760	8621620	70015389	8751924	8751944	69651104	8706388	8706408	68597948	8574744	8574764	8574764	94580f9eb34543fc	1
p15	clic-validation-043	compact	12289728	192	4709	7652167	12239430	402816	548375	174625	608666	532709	1616458	125417	525750	0	54991	54991	54991	26	25	25	336800	B	R	7924562	9068048	7924562	63701383	7962673	7962694	63271766	7908971	7908992	61840487	7730061	7730082	7730082	a274a017f54b7cf6	1
p15	clic-validation-043	low-latency	12289728	48	3125	7656083	12239430	201408	140709	55792	372416	314833	383584	30750	352459	41	18277	18277	18277	15	13	15	190376	E	R	8110152	9068048	8110152	64843789	8105474	8105494	65000320	8125040	8125060	64106970	8013372	8013392	8013392	35caa208b202cae4	1
