id	layout	bytes	rgba_hash	stream_hash	source_groups	source_map_cells	source_row_runs	source_group_switches	source_token_group_switches	identity
clic-validation-019	compact	5039696	baa5e95011876f48	b07bddc8d312f434	39	130	15912	10888	12109	exact
clic-validation-019	low-latency	5108948	baa5e95011876f48	fc80d328d4116136	16	35	8568	5976	7199	exact
clic-validation-020	single	6827556	dc09bc9dbb42193d	5c12809daf0176f6	1	0	0	0	0	exact
clic-validation-020	compact	6358216	dc09bc9dbb42193d	466e96893e179b35	41	160	18448	13831	14983	exact
clic-validation-020	low-latency	6430820	dc09bc9dbb42193d	a70878ccda5dadb3	16	40	9224	7301	8453	exact
clic-validation-021	single	5339060	f6f48492d10740e0	ccd8b949dd571e63	1	0	0	0	0	exact
clic-validation-021	compact	4565070	f6f48492d10740e0	e6ea7751bb0fa96c	29	130	15756	9960	11171	exact
clic-validation-021	low-latency	4693378	f6f48492d10740e0	eeacf5658ce6dae5	16	35	8484	5616	6827	exact
clic-validation-022	single	6415554	09fa4e4fe6aa63d6	81be446d2a8c556c	1	0	0	0	0	exact
clic-validation-022	compact	5628196	09fa4e4fe6aa63d6	52980d6296da50c6	20	160	20480	9088	11005	exact
clic-validation-022	low-latency	5628318	09fa4e4fe6aa63d6	f1df5dd2f587a11e	13	40	10240	4864	6655	exact
clic-validation-023	single	6765154	f8a29bed56822898	568cb7d093250c0e	1	0	0	0	0	exact
clic-validation-023	compact	5856188	f8a29bed56822898	14a3cbdb5772f655	39	160	18448	12166	13191	exact
clic-validation-023	low-latency	5979252	f8a29bed56822898	86417f977d44787c	16	40	9224	6275	7427	exact
clic-validation-024	single	7803852	c4f8779afc3c9993	2b254c8e6f28a585	1	0	0	0	0	exact
clic-validation-024	compact	7349344	c4f8779afc3c9993	fabb08f2175b9ae9	33	192	24192	15168	16672	exact
clic-validation-024	low-latency	7363364	c4f8779afc3c9993	382bb2aa62af6523	16	48	12096	7552	9311	exact
clic-validation-025	single	8753828	726fd24483d342a3	88776ca0eb6a5eff	1	0	0	0	0	exact
clic-validation-025	compact	7869586	726fd24483d342a3	8e2bafa718f19a77	40	192	24192	16736	18247	exact
clic-validation-025	low-latency	8063140	726fd24483d342a3	7e0fa761ed6d5c04	16	48	12096	8536	10047	exact
clic-validation-026	single	8945248	9c668909712280e2	bdd9b7333c7ec25f	1	0	0	0	0	exact
clic-validation-026	compact	8259084	9c668909712280e2	f45a79434b11b0a8	37	192	24576	18816	20736	exact
clic-validation-026	low-latency	8349358	9c668909712280e2	10688eb18b045ed4	16	48	12288	7936	9983	exact
clic-validation-027	single	7990348	6d7a3d538daf3164	2f4201b725bd4cff	1	0	0	0	0	exact
clic-validation-027	compact	6933844	6d7a3d538daf3164	bb6c90c7c8ce176a	20	192	24000	12720	14719	exact
clic-validation-027	low-latency	7076126	6d7a3d538daf3164	08c61a1a756bc696	10	48	12000	6352	8351	exact
clic-validation-028	single	7485068	6ac585fda881c351	ad191fb630d37ccb	1	0	0	0	0	exact
clic-validation-028	compact	7265392	6ac585fda881c351	06e5e235e1a82103	16	192	23936	8328	9694	exact
clic-validation-028	low-latency	7360348	6ac585fda881c351	3288c8c84e053dd9	6	48	11968	4744	5726	exact
clic-validation-029	single	6878640	df06568e13cc5010	0579eb1a024fe4c9	1	0	0	0	0	exact
clic-validation-029	compact	6107890	df06568e13cc5010	f3e390306bdceba2	24	192	24192	14016	15529	exact
clic-validation-029	low-latency	6030840	df06568e13cc5010	0038173aae5c4cbc	16	48	12096	8064	10078	exact
clic-validation-030	single	8832266	aaa1f8d564d01733	eb4d3c1c482d126b	1	0	0	0	0	exact
clic-validation-030	compact	8257108	aaa1f8d564d01733	b05bd6d94c5eec76	51	192	23936	13184	14336	exact
clic-validation-030	low-latency	8705786	aaa1f8d564d01733	cce495777e9bf98d	16	48	11968	6656	7681	exact
clic-validation-031	single	8103604	13b35a79be3ad589	dc31525b84c14546	1	0	0	0	0	exact
clic-validation-031	compact	7174330	13b35a79be3ad589	25794fd98a943f36	30	192	24192	15904	17835	exact
clic-validation-031	low-latency	7277258	13b35a79be3ad589	101739cfd5e60743	16	48	12096	7360	8864	exact
clic-validation-032	single	7422746	501e9493c3e82317	0797eed6599391af	1	0	0	0	0	exact
clic-validation-032	compact	6915788	501e9493c3e82317	e12aaa37425a5e15	13	192	24192	11248	12015	exact
clic-validation-032	low-latency	6987574	501e9493c3e82317	2126e8c389111622	9	48	12096	5328	5839	exact
clic-validation-033	single	8987044	89041b7b8d7ab9ff	4da1386652c785c3	1	0	0	0	0	exact
clic-validation-033	compact	8462362	89041b7b8d7ab9ff	b152258efbfb45be	39	192	24192	13504	14634	exact
clic-validation-033	low-latency	8431672	89041b7b8d7ab9ff	5214c4c49c246a83	16	48	12096	7584	8354	exact
clic-validation-034	single	9017490	9ab537cee8a6f725	be80cb6d8ba9bc9e	1	0	0	0	0	exact
clic-validation-034	compact	8425850	9ab537cee8a6f725	c60a77ee228fbe0f	26	192	24288	11608	13120	exact
clic-validation-034	low-latency	8475800	9ab537cee8a6f725	8c9291363f667e1b	13	48	12144	6328	8095	exact
clic-validation-035	single	8945746	1c7cba4a5059cb2d	09343fba1db70948	1	0	0	0	0	exact
clic-validation-035	compact	8124282	1c7cba4a5059cb2d	0935beeb6715c7da	17	192	24288	11248	12380	exact
clic-validation-035	low-latency	8055284	1c7cba4a5059cb2d	412e6979ef098033	11	48	12144	6822	8084	exact
clic-validation-036	single	8414648	8a82094490cf3de6	d91a2a953faf60b0	1	0	0	0	0	exact
clic-validation-036	compact	7281758	8a82094490cf3de6	dbba36b7f776979d	26	192	24288	17184	18849	exact
clic-validation-036	low-latency	7368046	8a82094490cf3de6	85cf78c6599ce065	16	48	12144	8168	10191	exact
clic-validation-037	single	8406362	3a910c171731cab6	42315527d2c40c17	1	0	0	0	0	exact
clic-validation-037	compact	7772372	3a910c171731cab6	5d2756e807704ab1	25	192	24288	12456	13718	exact
clic-validation-037	low-latency	7805588	3a910c171731cab6	0c2c1cf96dc34b0a	14	48	12144	6786	8048	exact
clic-validation-038	single	8836622	ad437832dec9a2fb	91b417aafb492e96	1	0	0	0	0	exact
clic-validation-038	compact	8140256	ad437832dec9a2fb	16c4160b4af1b939	37	192	24192	17696	19278	exact
clic-validation-038	low-latency	8129706	ad437832dec9a2fb	d882db21b5bd96f3	16	48	12096	7840	9855	exact
clic-validation-039	single	8403690	79092bf051e7b7fa	86944a67c821274f	1	0	0	0	0	exact
clic-validation-039	compact	7163302	79092bf051e7b7fa	71b90b977929d8ff	29	192	24192	16032	17776	exact
clic-validation-039	low-latency	7174990	79092bf051e7b7fa	db4ccf38a773a2bc	16	48	12096	7776	9536	exact
clic-validation-040	single	7945870	f1cedda480b841a2	0925d81676a3feab	1	0	0	0	0	exact
clic-validation-040	compact	6948508	f1cedda480b841a2	4ebc4f813c05112a	20	192	24192	12000	13256	exact
clic-validation-040	low-latency	7112000	f1cedda480b841a2	c32e1fa0c6d2c711	12	48	12096	6488	7744	exact
clic-validation-041	single	9093590	aed7b30146b1299b	65607cb3dd5d5db0	1	0	0	0	0	exact
clic-validation-041	compact	8085038	aed7b30146b1299b	5c31e4ccd8c92e01	38	192	24192	15296	16572	exact
clic-validation-041	low-latency	8245686	aed7b30146b1299b	e55ff5943d94f4a2	16	48	12096	7840	8609	exact
clic-validation-042	single	9104760	d374f2da92caad32	245de607196767e8	1	0	0	0	0	exact
clic-validation-042	compact	8347186	d374f2da92caad32	66c9b9f979182a86	55	192	24192	19040	20423	exact
clic-validation-042	low-latency	8621620	d374f2da92caad32	31b92d06196bd103	16	48	12096	9048	10559	exact
clic-validation-043	single	9068048	7818477b1034b62d	a1c8fa39949cfd10	1	0	0	0	0	exact
clic-validation-043	compact	7924562	7818477b1034b62d	f3ab0d02363f8810	37	192	24288	18064	19960	exact
clic-validation-043	low-latency	8110152	7818477b1034b62d	b2780ef698aadaf1	16	48	12144	9376	11397	exact
clic-validation-044	single	8654750	a83ce22bd465eb02	51337fe8473f2825	1	0	0	0	0	exact
clic-validation-044	compact	7873888	a83ce22bd465eb02	22adbf6c7dcf765f	43	192	24288	17302	18690	exact
clic-validation-044	low-latency	8131272	a83ce22bd465eb02	3e125060d34e1115	16	48	12144	8376	9893	exact
clic-validation-045	single	8470372	ca777343f34b5416	3f19581b4cf0ef36	1	0	0	0	0	exact
clic-validation-045	compact	7900172	ca777343f34b5416	1e710a98f0e62d32	30	192	24288	13272	15295	exact
clic-validation-045	low-latency	8110572	ca777343f34b5416	5385a9c2b4241a6b	12	48	12144	6816	8839	exact
clic-validation-046	single	8780082	e7c7cc29fb49f262	6aa25a5b058f2c1e	1	0	0	0	0	exact
clic-validation-046	compact	7848400	e7c7cc29fb49f262	9157d174b7537ea2	51	192	24288	16258	17775	exact
clic-validation-046	low-latency	7954172	e7c7cc29fb49f262	dc84bc7479e6314e	16	48	12144	8102	9619	exact
clic-validation-047	single	8899676	8be5f67dfe34ad0f	8ef50338447bf75e	1	0	0	0	0	exact
clic-validation-047	compact	7957054	8be5f67dfe34ad0f	946ad2afdb6f128c	52	192	24192	16528	17912	exact
clic-validation-047	low-latency	8191412	8be5f67dfe34ad0f	3bf25bdece1d9287	16	48	12096	8280	9536	exact
clic-validation-048	single	8387112	06bf4b56910696cc	b3eed10d0b56c187	1	0	0	0	0	exact
clic-validation-048	compact	7906474	06bf4b56910696cc	fde4f17e259d3ea7	34	192	24288	15472	16989	exact
clic-validation-048	low-latency	7848440	06bf4b56910696cc	5ef837660d6a9be4	16	48	12144	8596	9858	exact
clic-validation-049	single	8814616	814cc2e010233753	e37435998b3bb556	1	0	0	0	0	exact
clic-validation-049	compact	7822290	814cc2e010233753	1af2f745efbcd0a1	46	192	24192	15960	17342	exact
clic-validation-049	low-latency	8108738	814cc2e010233753	9318ded65bfad8db	16	48	12096	7376	8632	exact
clic-validation-050	single	8156160	1c6b2a5a359f4035	91e8ea4e99635baf	1	0	0	0	0	exact
clic-validation-050	compact	7378716	1c6b2a5a359f4035	f3471e5f5f5368ed	39	192	24192	15360	17246	exact
clic-validation-050	low-latency	7478216	1c6b2a5a359f4035	9b2252deaf3aaede	16	48	12096	8064	10078	exact
clic-validation-051	single	9177716	dc43a21b528a52af	4ff45042a9c93e12	1	0	0	0	0	exact
clic-validation-051	compact	8580442	dc43a21b528a52af	0e60d4b7f49b078a	51	192	24288	20356	21873	exact
clic-validation-051	low-latency	8648696	dc43a21b528a52af	0163d8d4eda3311b	16	48	12144	9364	10881	exact
clic-validation-052	single	8614622	149fd000ac879d77	ffcdb6c7f46fa770	1	0	0	0	0	exact
clic-validation-052	compact	7718096	149fd000ac879d77	e7ee77236c497597	43	192	24288	16516	18033	exact
clic-validation-052	low-latency	7997574	149fd000ac879d77	dfc55b1cbdc781b8	16	48	12144	7316	8578	exact
clic-validation-053	single	8049350	ad599d393581e189	9bb51ba7d72dd060	1	0	0	0	0	exact
clic-validation-053	compact	7672802	ad599d393581e189	46fa782cc9e95d80	27	192	24288	17472	18855	exact
clic-validation-053	low-latency	7683910	ad599d393581e189	7a7d572313b0908c	16	48	12144	8864	10887	exact
clic-validation-054	single	8164480	d292d8ca90867bc6	693691c4da19cf07	1	0	0	0	0	exact
clic-validation-054	compact	7105098	d292d8ca90867bc6	e2dc8d6b7d449bd1	32	192	24288	14880	16648	exact
clic-validation-054	low-latency	7334782	d292d8ca90867bc6	e144efa73bdd5386	16	48	12144	6608	8374	exact
clic-validation-055	single	8452586	d33a88aac4b357c5	62b51b6cbbf9f424	1	0	0	0	0	exact
clic-validation-055	compact	7806344	d33a88aac4b357c5	319c8bc631d8e3c5	19	192	24288	14448	15965	exact
clic-validation-055	low-latency	7568426	d33a88aac4b357c5	a8f3c529eb969d66	16	48	12144	8102	9619	exact
clic-validation-056	single	5498758	84914adfe7d334cb	b2cf53ea0f642a73	1	0	0	0	0	exact
clic-validation-056	compact	5090268	84914adfe7d334cb	6aafc02c59cdc96d	30	130	15912	11912	12881	exact
clic-validation-056	low-latency	5167842	84914adfe7d334cb	4c98d5b956b4dd89	16	35	8568	5864	6832	exact
clic-validation-057	single	5653454	ae13714cc241d1f3	2c2ea49707755bbd	1	0	0	0	0	exact
clic-validation-057	compact	5021628	ae13714cc241d1f3	8a91fd978f9e20ae	38	130	16320	10880	12511	exact
clic-validation-057	low-latency	5152288	ae13714cc241d1f3	9e66e442c3a7008d	16	35	8160	5056	6687	exact
clic-validation-058	single	5371936	cb8306f1813951d5	beba9cf887d167de	1	0	0	0	0	exact
clic-validation-058	compact	4943622	cb8306f1813951d5	f0d98ea340e5cc36	30	130	15912	11328	12480	exact
clic-validation-058	low-latency	4935030	cb8306f1813951d5	c9a567ae5428fb24	15	35	8568	5408	6431	exact
clic-validation-059	single	3988980	a2601af7c1aac2c0	80eb72bbc45b1a8e	1	0	0	0	0	exact
clic-validation-059	compact	3595402	a2601af7c1aac2c0	69adcfc255381ad9	24	130	15912	8440	8954	exact
clic-validation-059	low-latency	3675422	a2601af7c1aac2c0	a52385b5f9ece816	15	35	8568	4896	5104	exact
clic-validation-060	single	4870430	efb96945bd56bc03	c50b5b644073a568	1	0	0	0	0	exact
clic-validation-060	compact	4515910	efb96945bd56bc03	7078bde68f18facd	24	130	16320	10592	12223	exact
clic-validation-060	low-latency	4575774	efb96945bd56bc03	054b76e5a1cdac46	11	35	8160	5408	6784	exact
clic-validation-061	single	7757474	e8084be0f5a719a0	306ef351ede446cf	1	0	0	0	0	exact
clic-validation-061	compact	7438600	e8084be0f5a719a0	6fb544971c631800	29	176	21808	14986	16347	exact
clic-validation-061	low-latency	7429254	e8084be0f5a719a0	fa2702cc5aaf2ddb	16	48	10904	6559	7920	exact
clic-validation-062	single	6596034	c9c636ba9ac69b56	d754a72505035436	1	0	0	0	0	exact
clic-validation-062	compact	6121602	c9c636ba9ac69b56	3b8b548c5a6bbb91	32	176	21424	12504	13125	exact
clic-validation-062	low-latency	6162162	c9c636ba9ac69b56	2fa0fd35233306cc	15	48	10712	5553	6737	exact
clic-validation-063	single	6954136	f3db58ec142c60fb	d200b444c72fa1ec	1	0	0	0	0	exact
clic-validation-063	compact	6445414	f3db58ec142c60fb	41c775829e8b5abc	51	160	19008	14988	16048	exact
clic-validation-063	low-latency	6534318	f3db58ec142c60fb	b29de0471512ce00	16	40	9504	6872	7293	exact
clic-validation-064	single	8265838	d2309143462391f3	3cc9b37a6e786993	1	0	0	0	0	exact
clic-validation-064	compact	7719328	d2309143462391f3	70798c125f7a0677	63	176	21776	17134	18366	exact
clic-validation-064	low-latency	7878280	d2309143462391f3	5a610d2a29025872	16	48	10888	7398	8756	exact
clic-validation-065	single	7530648	ad51c0a7a72a60af	14678eac2109ec98	1	0	0	0	0	exact
clic-validation-065	compact	6898214	ad51c0a7a72a60af	fd7603d18be8a42d	24	176	21840	15270	16506	exact
clic-validation-065	low-latency	6856728	ad51c0a7a72a60af	26f38f7f8712f763	12	48	10920	7166	8529	exact
clic-validation-066	single	4007076	2776d792bd08e4c8	abf960e9f7fb8de6	1	0	0	0	0	exact
clic-validation-066	compact	3437954	2776d792bd08e4c8	6d29c0af326ae338	26	104	11895	8145	9058	exact
clic-validation-066	low-latency	3463560	2776d792bd08e4c8	2c6ff3c287bff9bd	16	28	6405	5087	5745	exact
clic-validation-067	single	7797260	bc771b35afb288d9	81ca2832ad73940e	1	0	0	0	0	exact
clic-validation-067	compact	7149540	bc771b35afb288d9	f86f38b425bbb9ae	47	176	21776	18333	19692	exact
clic-validation-067	low-latency	7399782	bc771b35afb288d9	d72b4c7cdf857515	16	48	10888	8934	10294	exact
clic-validation-068	single	8004572	3ba6a7c1c5ecf844	7ea539e392770403	1	0	0	0	0	exact
clic-validation-068	compact	7005466	3ba6a7c1c5ecf844	4cb7385c0a5f6638	42	176	21840	15569	16933	exact
clic-validation-068	low-latency	7198452	3ba6a7c1c5ecf844	7a84e73f79b0fdc3	16	48	10920	7081	8444	exact
clic-validation-069	single	7034076	3ae93d12110ca5c0	17779fc152bbdddb	1	0	0	0	0	exact
clic-validation-069	compact	6211560	3ae93d12110ca5c0	99d66288192faf0e	12	176	21760	10896	11920	exact
clic-validation-069	low-latency	6218740	3ae93d12110ca5c0	6b8bb6e5888b580f	12	48	10880	5792	6561	exact
clic-validation-070	single	7597312	def8eca9ffd902d7	7c8a863230571eef	1	0	0	0	0	exact
clic-validation-070	compact	7163008	def8eca9ffd902d7	8a0ef1ddf72b58c1	27	176	21840	15100	16464	exact
clic-validation-070	low-latency	7230868	def8eca9ffd902d7	75e2af3b24d7903e	16	48	10920	6825	8189	exact
clic-validation-071	single	3515174	3f96a3a16399627a	3ec791ce1bb9f6e2	1	0	0	0	0	exact
clic-validation-071	compact	3221288	3f96a3a16399627a	52e297ec31cd7584	18	84	10128	7212	7798	exact
clic-validation-071	low-latency	3213510	3f96a3a16399627a	97871cdbb7768cd6	10	24	5064	3708	4295	exact
clic-validation-072	single	6895976	70eaa592ad77ae32	654d8e742653c996	1	0	0	0	0	exact
clic-validation-072	compact	5618140	70eaa592ad77ae32	77a18569b2fbc676	28	176	20672	9092	10126	exact
clic-validation-072	low-latency	5704026	70eaa592ad77ae32	516c79a825b68689	16	48	10336	5692	6983	exact
clic-validation-073	single	7484380	135bd9114fb27ab3	6e623b99a720d381	1	0	0	0	0	exact
clic-validation-073	compact	7178514	135bd9114fb27ab3	cdbc635b3c0e390d	38	176	21760	13568	14663	exact
clic-validation-073	low-latency	7211752	135bd9114fb27ab3	8da5fa55b485fee4	14	48	10880	7056	8160	exact
clic-validation-074	single	5524776	e0866a959ca3aa42	89c1be4872e2a831	1	0	0	0	0	exact
clic-validation-074	compact	5322948	e0866a959ca3aa42	816ee3f0f9174443	18	140	16324	9442	9826	exact
clic-validation-074	low-latency	5084390	e0866a959ca3aa42	203b103a681adcf1	8	35	8162	3014	3525	exact
clic-validation-075	single	7708410	5c5894edd102f6b4	e93fd949e5508dc4	1	0	0	0	0	exact
clic-validation-075	compact	7194564	5c5894edd102f6b4	43d16d3a3736d65c	26	176	21920	16350	17337	exact
clic-validation-075	low-latency	7239090	5c5894edd102f6b4	9b661c90bc2b4c19	16	48	10960	7798	9166	exact
clic-validation-076	single	7314826	1eabffb9d8013a19	eadc2c3ccefbeec8	1	0	0	0	0	exact
clic-validation-076	compact	6453086	1eabffb9d8013a19	d50d78d82fc01862	27	176	21840	15143	16380	exact
clic-validation-076	low-latency	6423696	1eabffb9d8013a19	3289d9488447ed8a	16	48	10920	7252	8616	exact
clic-validation-077	single	6109706	f069d4212057ac2c	3eecdc76bb8f0630	1	0	0	0	0	exact
clic-validation-077	compact	5599902	f069d4212057ac2c	4948a51b99e4ca0a	25	176	21840	9810	10916	exact
clic-validation-077	low-latency	5607562	f069d4212057ac2c	4de4d8e62d041f24	16	48	10920	5886	6739	exact
clic-validation-078	single	6345390	4bbd9f34beba4142	52ab8fc61e20b62d	1	0	0	0	0	exact
clic-validation-078	compact	5704512	4bbd9f34beba4142	2a255306a6fe5cec	32	160	19520	14648	15739	exact
clic-validation-078	low-latency	5829980	4bbd9f34beba4142	c437b08a4f9b00b6	16	40	9760	7260	8477	exact
clic-validation-079	single	4866506	eef74678cce1313d	d6234ddec94d484a	1	0	0	0	0	exact
clic-validation-079	compact	4473714	eef74678cce1313d	4e5ed975a9486b76	24	126	15525	8192	9583	exact
clic-validation-079	low-latency	4555170	eef74678cce1313d	519953d348b80b9f	14	35	8625	4352	5888	exact
clic-validation-080	single	6964308	dfebd5c23f876a0a	253965cd9f1e06d2	1	0	0	0	0	exact
clic-validation-080	compact	6574580	dfebd5c23f876a0a	c83bdb93ed87567b	21	176	21840	18044	19408	exact
clic-validation-080	low-latency	6602440	dfebd5c23f876a0a	9b06469307d8ff2d	12	48	10920	8275	9639	exact
clic-validation-081	single	6285874	c537074dbedc40fd	577a8837b97cea5f	1	0	0	0	0	exact
clic-validation-081	compact	5779970	c537074dbedc40fd	717ef9481eeae3d0	19	176	21840	9085	9810	exact
clic-validation-081	low-latency	5682374	c537074dbedc40fd	ce218abaae12020d	15	48	10920	6398	7251	exact
clic-validation-082	single	1546030	b524c7723a66276c	87f5a66b468ab2ad	1	0	0	0	0	exact
clic-validation-082	compact	1512228	b524c7723a66276c	02853bd040c61d92	14	40	5120	3712	4223	exact
clic-validation-082	low-latency	1515288	b524c7723a66276c	0b4d53409a18d975	7	12	2560	1920	2559	exact
clic-validation-083	single	7592098	7645c39ab093488f	7231d2410f92f163	1	0	0	0	0	exact
clic-validation-083	compact	6906868	7645c39ab093488f	42f17e9711bffacd	27	176	21840	16082	17446	exact
clic-validation-083	low-latency	6884388	7645c39ab093488f	7ed07fe066d325d7	16	48	10920	8446	9554	exact
clic-validation-084	single	6645294	f3952a828fc73ff6	db78f46be373ebe5	1	0	0	0	0	exact
clic-validation-084	compact	5985856	f3952a828fc73ff6	b4715256de77ae39	35	176	21840	10749	12029	exact
clic-validation-084	low-latency	6003064	f3952a828fc73ff6	0a6e01e57f00aae6	16	48	10920	5460	6740	exact
clic-validation-085	single	2150968	e0efd336b8a5dcb7	2e3d5ddfae7e878b	1	0	0	0	0	exact
clic-validation-085	compact	1935310	e0efd336b8a5dcb7	3bb7c8c455c4d0e0	21	70	7720	5524	6271	exact
clic-validation-085	low-latency	1954892	e0efd336b8a5dcb7	042a6310fb0cd0bb	11	20	3860	2568	3336	exact
clic-validation-086	single	7681514	378052dc67d7d575	89f8be03f3b34a62	1	0	0	0	0	exact
