stream	id	layout	bytes	rgba_hash	stream_hash	encode_ns	project_exact
stream	clic-validation-016	low-latency	4701704	93bac67a01bb76e9	709af32520817fe5	113140667	1
stream	clic-validation-017	default	6910582	5976bb2cf09b055b	9dca386baa84de75	161251250	1
stream	clic-validation-017	single	7456520	5976bb2cf09b055b	9d34d150d714ba66	71203375	1
stream	clic-validation-017	compact	6691500	5976bb2cf09b055b	ec0a33bc3dd53d6d	171002542	1
stream	clic-validation-017	low-latency	6719656	5976bb2cf09b055b	00d466397d9cf7a6	168460125	1
stream	clic-validation-018	default	5479718	01f4dfd39c9dcea8	586971827b38044c	106253667	1
stream	clic-validation-018	single	5461664	01f4dfd39c9dcea8	07d1df74aefe3a34	43829083	1
stream	clic-validation-018	compact	5115144	01f4dfd39c9dcea8	61a83d9e32466dda	112928958	1
stream	clic-validation-018	low-latency	5118420	01f4dfd39c9dcea8	eb054bdbdfb3c853	110354417	1
stream	clic-validation-019	default	4600256	baa5e95011876f48	9cd109890f83cfcb	103639375	1
stream	clic-validation-019	single	5781646	baa5e95011876f48	863270b6e9837312	45758125	1
stream	clic-validation-019	compact	5039696	baa5e95011876f48	b07bddc8d312f434	112820375	1
stream	clic-validation-019	low-latency	5108948	baa5e95011876f48	fc80d328d4116136	107475708	1
stream	clic-validation-020	default	6941342	dc09bc9dbb42193d	013e51c9f7b09046	92338083	1
stream	clic-validation-020	single	6827556	dc09bc9dbb42193d	5c12809daf0176f6	53388875	1
stream	clic-validation-020	compact	6358216	dc09bc9dbb42193d	466e96893e179b35	128628958	1
stream	clic-validation-020	low-latency	6430820	dc09bc9dbb42193d	a70878ccda5dadb3	121567917	1
stream	clic-validation-021	default	4572734	f6f48492d10740e0	33fb46ef6ba1f5a1	106100667	1
stream	clic-validation-021	single	5339060	f6f48492d10740e0	ccd8b949dd571e63	44243500	1
stream	clic-validation-021	compact	4565070	f6f48492d10740e0	e6ea7751bb0fa96c	111286583	1
stream	clic-validation-021	low-latency	4693378	f6f48492d10740e0	eeacf5658ce6dae5	109617625	1
stream	clic-validation-022	default	5589618	09fa4e4fe6aa63d6	63ff83e12942115c	125334583	1
stream	clic-validation-022	single	6415554	09fa4e4fe6aa63d6	81be446d2a8c556c	51980666	1
stream	clic-validation-022	compact	5628196	09fa4e4fe6aa63d6	52980d6296da50c6	125310250	1
stream	clic-validation-022	low-latency	5628318	09fa4e4fe6aa63d6	f1df5dd2f587a11e	120593958	1
stream	clic-validation-023	default	5744942	f8a29bed56822898	888a89a2372efb77	93451667	1
stream	clic-validation-023	single	6765154	f8a29bed56822898	568cb7d093250c0e	53856000	1
stream	clic-validation-023	compact	5856188	f8a29bed56822898	14a3cbdb5772f655	129332542	1
stream	clic-validation-023	low-latency	5979252	f8a29bed56822898	86417f977d44787c	127752250	1
stream	clic-validation-024	default	7019090	c4f8779afc3c9993	ca818c55ee444c38	166198917	1
stream	clic-validation-024	single	7803852	c4f8779afc3c9993	2b254c8e6f28a585	69521459	1
stream	clic-validation-024	compact	7349344	c4f8779afc3c9993	fabb08f2175b9ae9	167236792	1
stream	clic-validation-024	low-latency	7363364	c4f8779afc3c9993	382bb2aa62af6523	163955875	1
stream	clic-validation-025	default	8105312	726fd24483d342a3	14064fada69e6df1	160576167	1
stream	clic-validation-025	single	8753828	726fd24483d342a3	88776ca0eb6a5eff	67644416	1
stream	clic-validation-025	compact	7869586	726fd24483d342a3	8e2bafa718f19a77	167075958	1
stream	clic-validation-025	low-latency	8063140	726fd24483d342a3	7e0fa761ed6d5c04	159046584	1
stream	clic-validation-026	default	8891084	9c668909712280e2	e83172a721992628	124299667	1
stream	clic-validation-026	single	8945248	9c668909712280e2	bdd9b7333c7ec25f	70447042	1
stream	clic-validation-026	compact	8259084	9c668909712280e2	f45a79434b11b0a8	175392250	1
stream	clic-validation-026	low-latency	8349358	9c668909712280e2	10688eb18b045ed4	173974917	1
stream	clic-validation-027	default	5964034	6d7a3d538daf3164	d105f56dc1320a20	160555791	1
stream	clic-validation-027	single	7990348	6d7a3d538daf3164	2f4201b725bd4cff	67861542	1
stream	clic-validation-027	compact	6933844	6d7a3d538daf3164	bb6c90c7c8ce176a	167941375	1
stream	clic-validation-027	low-latency	7076126	6d7a3d538daf3164	08c61a1a756bc696	165807708	1
